; MSControl_Server Game File									
; Apr 6th									
; Andrew Stokes									
;									
;	Profit	W.cost	J.cost	D.cost					
DEMAND	2	0	57	30	296	1469	1404		
DEMAND	2	0	58	0	278	1385	1451		
DEMAND	2	0	58	30	299	1095	1465		
DEMAND	2	0	59	0	291	1435	1412		
DEMAND	2	0	59	30	297	978	1484		
DEMAND	2	1	0	0	268	1076	1490		
DEMAND	2	1	0	30	282	1163	1439		
DEMAND	2	1	1	0	287	979	1463		
DEMAND	2	1	1	30	305	1318	1462		
DEMAND	2	1	2	0	296	1177	1413		
DEMAND	2	1	2	30	253	922	1440		
DEMAND	2	1	3	0	296	1175	1451		
DEMAND	2	1	3	30	289	1154	1325		
DEMAND	2	1	4	0	295	1141	1345		
DEMAND	2	1	4	30	288	1320	1450		
DEMAND	2	1	5	0	273	1376	1416		
DEMAND	2	1	5	30	270	1182	1395		
DEMAND	2	1	6	0	286	1292	1533		
DEMAND	2	1	6	30	285	1146	1360		
DEMAND	2	1	7	0	283	1119	1378		
DEMAND	2	1	7	30	254	1027	1457		
DEMAND	2	1	8	0	294	1112	1375		
DEMAND	2	1	8	30	277	1288	1489		
DEMAND	2	1	9	0	276	1532	1493		
DEMAND	2	1	9	30	291	1354	1388		
DEMAND	2	1	10	0	287	1337	1421		
DEMAND	2	1	10	30	244	1109	1340		
DEMAND	2	1	11	0	288	1403	1437		
DEMAND	2	1	11	30	278	1114	1448		
DEMAND	2	1	12	0	229	960	1465		
DEMAND	2	1	12	30	288	1279	1488		
DEMAND	2	1	13	0	288	1547	1409		
DEMAND	2	1	13	30	272	1145	1346		
DEMAND	2	1	14	0	238	1146	1468		
DEMAND	2	1	14	30	265	1317	1390		
DEMAND	2	1	15	0	273	1266	1410		
DEMAND	2	1	15	30	261	1257	1529		
DEMAND	2	1	16	0	232	1286	1339		
DEMAND	2	1	16	30	229	1173	1500		
DEMAND	2	1	17	0	249	1202	1466		
DEMAND	2	1	17	30	228	1526	1450		
DEMAND	2	1	18	0	291	1184	1465		
DEMAND	2	1	18	30	281	1558	1380		
DEMAND	2	1	19	0	242	1601	1423		
DEMAND	2	1	19	30	221	1642	1526		
DEMAND	2	1	20	0	268	1368	1441		
DEMAND	2	1	20	30	246	1107	1351		
DEMAND	2	1	21	0	241	1395	1473		
DEMAND	2	1	21	30	258	1269	1571		
DEMAND	2	1	22	0	234	1426	1422		
DEMAND	2	1	22	30	207	1458	1360		
DEMAND	2	1	23	0	233	1286	1350		
DEMAND	2	1	23	30	208	1535	1380		
DEMAND	2	1	24	0	228	1565	1370		
DEMAND	2	1	24	30	235	1244	1411		
DEMAND	2	1	25	0	266	1441	1522		
DEMAND	2	1	25	30	230	1150	1339		
DEMAND	2	1	26	0	273	1392	1453		
DEMAND	2	1	26	30	199	1390	1464		
DEMAND	2	1	27	0	235	1536	1430		
DEMAND	2	1	27	30	267	1364	1349		
DEMAND	2	1	28	0	265	1229	1468		
DEMAND	2	1	28	30	252	1508	1492		
DEMAND	2	1	29	0	228	1619	1473		
DEMAND	2	1	29	30	240	1176	1409		
DEMAND	2	1	30	0	198	1184	1372		
DEMAND	2	1	30	30	249	1263	1537		
DEMAND	2	1	31	0	199	1595	1460		
DEMAND	2	1	31	30	275	1446	1413		
DEMAND	2	1	32	0	239	1245	1448		
DEMAND	2	1	32	30	234	1269	1431		
DEMAND	2	1	33	0	260	1750	1535		
DEMAND	2	1	33	30	226	1619	1517		
DEMAND	2	1	34	0	255	1557	1482		
DEMAND	2	1	34	30	200	1334	1432		
DEMAND	2	1	35	0	197	1794	1279		
DEMAND	2	1	35	30	200	1259	1436		
DEMAND	2	1	36	0	237	1551	1286		
DEMAND	2	1	36	30	247	1238	1556		
DEMAND	2	1	37	0	240	1467	1367		
DEMAND	2	1	37	30	233	1408	1528		
DEMAND	2	1	38	0	262	1697	1462		
DEMAND	2	1	38	30	192	1355	1471		
DEMAND	2	1	39	0	211	1602	1421		
DEMAND	2	1	39	30	241	1604	1436		
DEMAND	2	1	40	0	182	1358	1562		
DEMAND	2	1	40	30	225	1305	1443		
DEMAND	2	1	41	0	222	1525	1244		
DEMAND	2	1	41	30	187	1731	1454		
DEMAND	2	1	42	0	254	1393	1486		
DEMAND	2	1	42	30	244	1393	1453		
DEMAND	2	1	43	0	244	1482	1318		
DEMAND	2	1	43	30	209	1510	1584		
DEMAND	2	1	44	0	195	1476	1428		
DEMAND	2	1	44	30	265	1576	1599		
DEMAND	2	1	45	0	210	1395	1297		
DEMAND	2	1	45	30	172	1632	1536		
DEMAND	2	1	46	0	244	1893	1342		
DEMAND	2	1	46	30	192	1515	1442		
DEMAND	2	1	47	0	198	1833	1456		
DEMAND	2	1	47	30	228	1517	1451		
DEMAND	2	1	48	0	232	1778	1464		
DEMAND	2	1	48	30	228	1925	1364		
DEMAND	2	1	49	0	230	1898	1520		
DEMAND	2	1	49	30	239	1658	1455		
DEMAND	2	1	50	0	242	1865	1551		
DEMAND	2	1	50	30	177	1506	1418		
DEMAND	2	1	51	0	227	1753	1609		
DEMAND	2	1	51	30	191	1770	1548		
DEMAND	2	1	52	0	206	1690	1514		
DEMAND	2	1	52	30	250	1529	1435		
DEMAND	2	1	53	0	231	1712	1548		
DEMAND	2	1	53	30	159	1581	1322		
DEMAND	2	1	54	0	234	1945	1701		
DEMAND	2	1	54	30	196	1475	1533		
DEMAND	2	1	55	0	225	1545	1459		
DEMAND	2	1	55	30	243	1502	1264		
DEMAND	2	1	56	0	235	1468	1450		
DEMAND	2	1	56	30	160	1591	1457		
DEMAND	2	1	57	0	228	1512	1529		
DEMAND	2	1	57	30	248	1681	1706		
DEMAND	2	1	58	0	174	1799	1363		
DEMAND	2	1	58	30	186	1841	1664		
DEMAND	2	1	59	0	154	1844	1424		
DEMAND	2	1	59	30	167	1726	1524		
DEMAND	2	2	0	0	245	1811	1299		
DEMAND	2	2	0	30	243	1928	1581		
DEMAND	2	2	1	0	194	1534	1693		
DEMAND	2	2	1	30	192	1594	1326		
DEMAND	2	2	2	0	208	1590	1562		
DEMAND	2	2	2	30	241	1604	1633		
DEMAND	2	2	3	0	217	1774	1507		
DEMAND	2	2	3	30	198	1838	1527		
DEMAND	2	2	4	0	196	1826	1426		
DEMAND	2	2	4	30	204	1467	1618		
DEMAND	2	2	5	0	278	1710	1463		
DEMAND	2	2	5	30	210	1794	1449		
DEMAND	2	2	6	0	256	1993	1611		
DEMAND	2	2	6	30	156	1667	1651		
DEMAND	2	2	7	0	236	1555	1465		
DEMAND	2	2	7	30	214	1598	1647		
DEMAND	2	2	8	0	247	1934	1596		
DEMAND	2	2	8	30	256	1727	1339		
DEMAND	2	2	9	0	223	1745	1348		
DEMAND	2	2	9	30	150	1805	1597		
DEMAND	2	2	10	0	223	1976	1614		
DEMAND	2	2	10	30	230	1577	1636		
DEMAND	2	2	11	0	241	1973	1461		
DEMAND	2	2	11	30	183	1625	1549		
DEMAND	2	2	12	0	267	1741	1363		
DEMAND	2	2	12	30	221	1776	1487		
DEMAND	2	2	13	0	225	1810	1724		
DEMAND	2	2	13	30	225	1872	1414		
DEMAND	2	2	14	0	245	1788	1699		
DEMAND	2	2	14	30	175	1856	1485		
DEMAND	2	2	15	0	207	1860	1515		
DEMAND	2	2	15	30	137	2007	1498		
DEMAND	2	2	16	0	250	1793	1569		
DEMAND	2	2	16	30	178	1963	1366		
DEMAND	2	2	17	0	242	1865	1531		
DEMAND	2	2	17	30	219	1872	1559		
DEMAND	2	2	18	0	269	1701	1654		
DEMAND	2	2	18	30	203	1924	1805		
DEMAND	2	2	19	0	212	2094	1528		
DEMAND	2	2	19	30	142	1942	1462		
DEMAND	2	2	20	0	247	1994	1608		
DEMAND	2	2	20	30	193	1937	1606		
DEMAND	2	2	21	0	251	1861	1723		
DEMAND	2	2	21	30	162	1979	1702		
DEMAND	2	2	22	0	235	1994	1490		
DEMAND	2	2	22	30	145	1870	1619		
DEMAND	2	2	23	0	280	1868	1726		
DEMAND	2	2	23	30	208	1785	1743		
DEMAND	2	2	24	0	171	1933	1470		
DEMAND	2	2	24	30	212	1967	1547		
DEMAND	2	2	25	0	250	1897	1484		
DEMAND	2	2	25	30	210	1884	1805		
DEMAND	2	2	26	0	199	1813	1581		
DEMAND	2	2	26	30	122	1944	1440		
DEMAND	2	2	27	0	167	1796	1736		
DEMAND	2	2	27	30	191	1806	1469		
DEMAND	2	2	28	0	143	2002	1556		
DEMAND	2	2	28	30	244	1966	1859		
DEMAND	2	2	29	0	195	1995	1590		
DEMAND	2	2	29	30	241	1849	1759		
DEMAND	2	2	30	0	155	2075	1613		
DEMAND	2	2	30	30	174	2086	1400		
DEMAND	2	2	31	0	253	1824	1686		
DEMAND	2	2	31	30	195	1897	1751		
DEMAND	2	2	32	0	131	2123	1465		
DEMAND	2	2	32	30	254	1975	1678		
DEMAND	2	2	33	0	150	2040	1535		
DEMAND	2	2	33	30	206	1999	1676		
DEMAND	2	2	34	0	224	1926	1623		
DEMAND	2	2	34	30	167	1769	1677		
DEMAND	2	2	35	0	233	1947	1559		
DEMAND	2	2	35	30	219	2092	1676		
DEMAND	2	2	36	0	173	2073	1643		
DEMAND	2	2	36	30	169	2057	1639		
DEMAND	2	2	37	0	209	1992	1549		
DEMAND	2	2	37	30	240	1817	1435		
DEMAND	2	2	38	0	218	2146	1772		
DEMAND	2	2	38	30	202	1987	1689		
DEMAND	2	2	39	0	141	1931	1424		
DEMAND	2	2	39	30	243	1890	1489		
DEMAND	2	2	40	0	142	1853	1584		
DEMAND	2	2	40	30	202	2067	1859		
DEMAND	2	2	41	0	196	2019	1539		
DEMAND	2	2	41	30	153	2035	1547		
DEMAND	2	2	42	0	211	2051	1790		
DEMAND	2	2	42	30	177	2056	1372		
DEMAND	2	2	43	0	179	1922	1602		
DEMAND	2	2	43	30	286	1842	1524		
DEMAND	2	2	44	0	226	2148	1957		
DEMAND	2	2	44	30	269	1802	1910		
DEMAND	2	2	45	0	257	2236	1658		
DEMAND	2	2	45	30	202	1861	1866		
DEMAND	2	2	46	0	210	2028	1869		
DEMAND	2	2	46	30	149	2169	1745		
DEMAND	2	2	47	0	175	2001	1602		
DEMAND	2	2	47	30	240	1963	1786		
DEMAND	2	2	48	0	254	2017	1869		
DEMAND	2	2	48	30	267	2054	1429		
DEMAND	2	2	49	0	254	2064	1724		
DEMAND	2	2	49	30	216	2024	1780		
DEMAND	2	2	50	0	217	2035	1685		
DEMAND	2	2	50	30	137	2197	1982		
DEMAND	2	2	51	0	231	2021	1627		
DEMAND	2	2	51	30	210	1956	1521		
DEMAND	2	2	52	0	243	2041	1577		
DEMAND	2	2	52	30	213	2111	1494		
DEMAND	2	2	53	0	209	2096	1953		
DEMAND	2	2	53	30	183	1991	1438		
DEMAND	2	2	54	0	263	2023	1712		
DEMAND	2	2	54	30	237	2089	1733		
DEMAND	2	2	55	0	161	2213	1928		
DEMAND	2	2	55	30	259	2236	1569		
DEMAND	2	2	56	0	176	2111	1878		
DEMAND	2	2	56	30	239	2113	2044		
DEMAND	2	2	57	0	274	2146	1691		
DEMAND	2	2	57	30	269	2050	1795		
DEMAND	2	2	58	0	142	2124	1820		
DEMAND	2	2	58	30	269	2205	1518		
DEMAND	2	2	59	0	114	2098	1822		
DEMAND	2	2	59	30	157	1914	1736		
DEMAND	2	3	0	0	254	2037	1689		
DEMAND	2	3	0	30	207	2171	1462		
DEMAND	2	3	1	0	286	2236	2015		
DEMAND	2	3	1	30	219	2051	1974		
DEMAND	2	3	2	0	285	2109	1617		
DEMAND	2	3	2	30	203	2274	1998		
DEMAND	2	3	3	0	290	2238	1914		
DEMAND	2	3	3	30	122	2261	1478		
DEMAND	2	3	4	0	238	1991	1598		
DEMAND	2	3	4	30	242	2061	1550		
DEMAND	2	3	5	0	140	2243	1825		
DEMAND	2	3	5	30	126	2237	1819		
DEMAND	2	3	6	0	197	2211	1865		
DEMAND	2	3	6	30	192	2119	1662		
DEMAND	2	3	7	0	280	2064	1770		
DEMAND	2	3	7	30	241	2255	1672		
DEMAND	2	3	8	0	270	2213	1744		
DEMAND	2	3	8	30	146	2066	1654		
DEMAND	2	3	9	0	119	2147	1763		
DEMAND	2	3	9	30	212	2045	1683		
DEMAND	2	3	10	0	215	2089	2049		
DEMAND	2	3	10	30	298	2209	1560		
DEMAND	2	3	11	0	139	2146	1564		
DEMAND	2	3	11	30	142	2132	1932		
DEMAND	2	3	12	0	236	2081	2003		
DEMAND	2	3	12	30	227	2138	1837		
DEMAND	2	3	13	0	202	2164	1846		
DEMAND	2	3	13	30	133	2078	1517		
DEMAND	2	3	14	0	297	2255	1877		
DEMAND	2	3	14	30	133	2125	1777		
DEMAND	2	3	15	0	121	2193	1608		
DEMAND	2	3	15	30	170	2150	1840		
DEMAND	2	3	16	0	323	2205	1616		
DEMAND	2	3	16	30	149	2207	1685		
DEMAND	2	3	17	0	137	2118	1939		
DEMAND	2	3	17	30	247	2204	1744		
DEMAND	2	3	18	0	105	2068	1788		
DEMAND	2	3	18	30	247	2197	1675		
DEMAND	2	3	19	0	143	2165	1682		
DEMAND	2	3	19	30	155	2183	1752		
DEMAND	2	3	20	0	194	2180	1962		
DEMAND	2	3	20	30	176	2129	1749		
DEMAND	2	3	21	0	238	2110	2054		
DEMAND	2	3	21	30	171	2130	1809		
DEMAND	2	3	22	0	114	2185	2120		
DEMAND	2	3	22	30	268	2173	1593		
DEMAND	2	3	23	0	199	2288	1857		
DEMAND	2	3	23	30	245	2261	1971		
DEMAND	2	3	24	0	280	2280	1818		
DEMAND	2	3	24	30	146	2243	1792		
DEMAND	2	3	25	0	177	2326	1800		
DEMAND	2	3	25	30	181	2117	2061		
DEMAND	2	3	26	0	257	2193	1629		
DEMAND	2	3	26	30	116	2280	1980		
DEMAND	2	3	27	0	308	2279	1976		
DEMAND	2	3	27	30	251	2080	1736		
DEMAND	2	3	28	0	150	2250	1611		
DEMAND	2	3	28	30	195	2274	1810		
DEMAND	2	3	29	0	179	2280	1767		
DEMAND	2	3	29	30	150	2295	2015		
DEMAND	2	3	30	0	128	2295	1842		
DEMAND	2	3	30	30	206	2208	1736		
DEMAND	2	3	31	0	271	2369	1834		
DEMAND	2	3	31	30	202	2241	1792		
DEMAND	2	3	32	0	221	2224	1820		
DEMAND	2	3	32	30	157	2251	1778		
DEMAND	2	3	33	0	216	2227	1891		
DEMAND	2	3	33	30	183	2165	1947		
DEMAND	2	3	34	0	276	2173	1771		
DEMAND	2	3	34	30	178	2235	1759		
DEMAND	2	3	35	0	192	2217	2098		
DEMAND	2	3	35	30	139	2162	2011		
DEMAND	2	3	36	0	216	2161	1828		
DEMAND	2	3	36	30	218	2308	1964		
DEMAND	2	3	37	0	199	2249	1836		
DEMAND	2	3	37	30	246	2191	1897		
DEMAND	2	3	38	0	231	2129	1964		
DEMAND	2	3	38	30	177	2187	2173		
DEMAND	2	3	39	0	170	2217	1920		
DEMAND	2	3	39	30	252	2309	1809		
DEMAND	2	3	40	0	220	2274	1634		
DEMAND	2	3	40	30	247	2252	1768		
DEMAND	2	3	41	0	229	2205	2064		
DEMAND	2	3	41	30	229	2254	2017		
DEMAND	2	3	42	0	148	2307	2005		
DEMAND	2	3	42	30	192	2284	1715		
DEMAND	2	3	43	0	111	2182	1900		
DEMAND	2	3	43	30	234	2180	1751		
DEMAND	2	3	44	0	162	2263	1702		
DEMAND	2	3	44	30	239	2093	2011		
DEMAND	2	3	45	0	282	2241	1955		
DEMAND	2	3	45	30	161	2167	1912		
DEMAND	2	3	46	0	283	2253	1704		
DEMAND	2	3	46	30	211	2228	1788		
DEMAND	2	3	47	0	222	2277	2063		
DEMAND	2	3	47	30	243	2212	1760		
DEMAND	2	3	48	0	205	2244	2125		
DEMAND	2	3	48	30	304	2336	1895		
DEMAND	2	3	49	0	184	2224	1785		
DEMAND	2	3	49	30	238	2256	2079		
DEMAND	2	3	50	0	171	2377	1624		
DEMAND	2	3	50	30	150	2194	2072		
DEMAND	2	3	51	0	171	2254	2099		
DEMAND	2	3	51	30	225	2239	1817		
DEMAND	2	3	52	0	152	2223	1888		
DEMAND	2	3	52	30	204	2334	1873		
DEMAND	2	3	53	0	261	2271	1884		
DEMAND	2	3	53	30	142	2240	2057		
DEMAND	2	3	54	0	269	2304	2034		
DEMAND	2	3	54	30	239	2309	1946		
DEMAND	2	3	55	0	204	2223	1804		
DEMAND	2	3	55	30	230	2298	1707		
DEMAND	2	3	56	0	292	2291	1975		
DEMAND	2	3	56	30	218	2171	2127		
DEMAND	2	3	57	0	244	2343	1864		
DEMAND	2	3	57	30	259	2215	1887		
DEMAND	2	3	58	0	399	2295	1946		
DEMAND	2	3	58	30	261	2196	1803		
DEMAND	2	3	59	0	304	2214	1873		
DEMAND	2	3	59	30	248	2286	1923		
DEMAND	2	4	0	0	279	2342	1977		
DEMAND	2	4	0	30	337	2296	1672		
DEMAND	2	4	1	0	301	2227	1940		
DEMAND	2	4	1	30	241	2238	1922		
DEMAND	2	4	2	0	151	2268	2040		
DEMAND	2	4	2	30	241	2151	1882		
DEMAND	2	4	3	0	187	2173	2016		
DEMAND	2	4	3	30	301	2253	1883		
DEMAND	2	4	4	0	286	2325	1970		
DEMAND	2	4	4	30	192	2252	2142		
DEMAND	2	4	5	0	203	2164	1970		
DEMAND	2	4	5	30	322	2304	2043		
DEMAND	2	4	6	0	309	2232	1907		
DEMAND	2	4	6	30	250	2248	1891		
DEMAND	2	4	7	0	293	2355	1848		
DEMAND	2	4	7	30	272	2137	1921		
DEMAND	2	4	8	0	340	2132	1822		
DEMAND	2	4	8	30	371	2197	1954		
DEMAND	2	4	9	0	290	2200	2068		
DEMAND	2	4	9	30	217	2184	1934		
DEMAND	2	4	10	0	173	2229	1917		
DEMAND	2	4	10	30	285	2200	2025		
DEMAND	2	4	11	0	364	2172	1866		
DEMAND	2	4	11	30	222	2159	1996		
DEMAND	2	4	12	0	226	2121	2002		
DEMAND	2	4	12	30	331	2235	2082		
DEMAND	2	4	13	0	304	2041	2021		
DEMAND	2	4	13	30	261	2108	1801		
DEMAND	2	4	14	0	242	2291	1998		
DEMAND	2	4	14	30	262	2226	2025		
DEMAND	2	4	15	0	251	2277	1983		
DEMAND	2	4	15	30	266	2208	2118		
DEMAND	2	4	16	0	327	2181	1868		
DEMAND	2	4	16	30	228	2287	2037		
DEMAND	2	4	17	0	319	2259	2006		
DEMAND	2	4	17	30	360	2265	1933		
DEMAND	2	4	18	0	337	2386	1975		
DEMAND	2	4	18	30	323	2127	1791		
DEMAND	2	4	19	0	363	2050	2008		
DEMAND	2	4	19	30	340	2110	2057		
DEMAND	2	4	20	0	297	2024	2034		
DEMAND	2	4	20	30	365	2026	1910		
DEMAND	2	4	21	0	381	2019	1806		
DEMAND	2	4	21	30	317	2173	2008		
DEMAND	2	4	22	0	320	2329	1961		
DEMAND	2	4	22	30	376	2247	1917		
DEMAND	2	4	23	0	275	2267	1802		
DEMAND	2	4	23	30	275	2116	1944		
DEMAND	2	4	24	0	392	2031	2092		
DEMAND	2	4	24	30	340	2081	1823		
DEMAND	2	4	25	0	302	2146	2033		
DEMAND	2	4	25	30	339	2238	1876		
DEMAND	2	4	26	0	388	2173	2020		
DEMAND	2	4	26	30	311	2048	2055		
DEMAND	2	4	27	0	369	2102	2038		
DEMAND	2	4	27	30	324	2242	1825		
DEMAND	2	4	28	0	356	2160	1988		
DEMAND	2	4	28	30	403	2142	2019		
DEMAND	2	4	29	0	404	2268	2002		
DEMAND	2	4	29	30	479	2026	1777		
DEMAND	2	4	30	0	290	2042	1831		
DEMAND	2	4	30	30	324	2116	2076		
DEMAND	2	4	31	0	383	2001	2022		
DEMAND	2	4	31	30	403	2225	1947		
DEMAND	2	4	32	0	308	1966	1966		
DEMAND	2	4	32	30	267	2229	2101		
DEMAND	2	4	33	0	481	1966	2096		
DEMAND	2	4	33	30	390	2283	1969		
DEMAND	2	4	34	0	397	2085	1992		
DEMAND	2	4	34	30	444	2230	1927		
DEMAND	2	4	35	0	297	2041	1971		
DEMAND	2	4	35	30	365	2073	1858		
DEMAND	2	4	36	0	422	2281	1978		
DEMAND	2	4	36	30	365	2154	1972		
DEMAND	2	4	37	0	355	2221	1953		
DEMAND	2	4	37	30	381	1973	1896		
DEMAND	2	4	38	0	372	2143	1842		
DEMAND	2	4	38	30	488	2258	1839		
DEMAND	2	4	39	0	397	2257	2042		
DEMAND	2	4	39	30	409	2039	1948		
DEMAND	2	4	40	0	441	1998	1959		
DEMAND	2	4	40	30	441	2122	1969		
DEMAND	2	4	41	0	499	2203	1860		
DEMAND	2	4	41	30	427	2002	1846		
DEMAND	2	4	42	0	531	2194	2025		
DEMAND	2	4	42	30	533	2249	1986		
DEMAND	2	4	43	0	423	2027	2008		
DEMAND	2	4	43	30	452	2231	1873		
DEMAND	2	4	44	0	507	2015	1903		
DEMAND	2	4	44	30	381	2040	2036		
DEMAND	2	4	45	0	504	2172	1958		
DEMAND	2	4	45	30	477	2077	2007		
DEMAND	2	4	46	0	394	2164	2027		
DEMAND	2	4	46	30	555	2299	2017		
DEMAND	2	4	47	0	596	2197	1908		
DEMAND	2	4	47	30	414	2211	1867		
DEMAND	2	4	48	0	496	2215	1922		
DEMAND	2	4	48	30	452	2209	1972		
DEMAND	2	4	49	0	531	2237	1780		
DEMAND	2	4	49	30	525	1892	1829		
DEMAND	2	4	50	0	464	2230	1818		
DEMAND	2	4	50	30	560	1860	1936		
DEMAND	2	4	51	0	563	2011	2056		
DEMAND	2	4	51	30	575	2054	1854		
DEMAND	2	4	52	0	575	2132	1986		
DEMAND	2	4	52	30	635	2256	1887		
DEMAND	2	4	53	0	570	1922	1943		
DEMAND	2	4	53	30	545	2074	1946		
DEMAND	2	4	54	0	596	2077	2074		
DEMAND	2	4	54	30	563	1993	1900		
DEMAND	2	4	55	0	748	2193	2041		
DEMAND	2	4	55	30	516	2235	1852		
DEMAND	2	4	56	0	699	1990	2090		
DEMAND	2	4	56	30	747	2148	1842		
DEMAND	2	4	57	0	895	2099	1805		
DEMAND	2	4	57	30	542	1925	2032		
DEMAND	2	4	58	0	596	2150	2000		
DEMAND	2	4	58	30	802	1959	1833		
DEMAND	2	4	59	0	731	2066	1897		
DEMAND	2	4	59	30	554	2161	1851		
DEMAND	2	5	0	0	611	1949	1992		
