; MSControl_Server Game File									
; Apr 6th									
; Andrew Stokes									
;									
;	Profit	W.cost	J.cost	D.cost					
DEMAND	0	1	4	30	138	409	490		
DEMAND	0	1	5	0	137	401	500		
DEMAND	0	1	5	30	137	413	500		
DEMAND	0	1	6	0	135	409	480		
DEMAND	0	1	6	30	135	415	499		
DEMAND	0	1	7	0	137	404	500		
DEMAND	0	1	7	30	136	428	483		
DEMAND	0	1	8	0	136	431	485		
DEMAND	0	1	8	30	133	429	499		
DEMAND	0	1	9	0	135	392	482		
DEMAND	0	1	9	30	137	408	480		
DEMAND	0	1	10	0	135	419	500		
DEMAND	0	1	10	30	135	448	491		
DEMAND	0	1	11	0	135	430	482		
DEMAND	0	1	11	30	136	438	498		
DEMAND	0	1	12	0	134	421	496		
DEMAND	0	1	12	30	134	461	487		
DEMAND	0	1	13	0	133	451	497		
DEMAND	0	1	13	30	132	462	492		
DEMAND	0	1	14	0	131	410	480		
DEMAND	0	1	14	30	134	465	487		
DEMAND	0	1	15	0	131	463	485		
DEMAND	0	1	15	30	131	430	496		
DEMAND	0	1	16	0	133	425	484		
DEMAND	0	1	16	30	131	457	490		
DEMAND	0	1	17	0	131	447	477		
DEMAND	0	1	17	30	128	465	494		
DEMAND	0	1	18	0	128	457	484		
DEMAND	0	1	18	30	128	438	494		
DEMAND	0	1	19	0	127	449	489		
DEMAND	0	1	19	30	132	462	485		
DEMAND	0	1	20	0	129	469	483		
DEMAND	0	1	20	30	130	465	480		
DEMAND	0	1	21	0	129	482	481		
DEMAND	0	1	21	30	131	463	482		
DEMAND	0	1	22	0	127	471	489		
DEMAND	0	1	22	30	125	477	480		
DEMAND	0	1	23	0	127	455	475		
DEMAND	0	1	23	30	127	462	488		
DEMAND	0	1	24	0	127	472	486		
DEMAND	0	1	24	30	127	495	478		
DEMAND	0	1	25	0	122	487	484		
DEMAND	0	1	25	30	129	490	484		
DEMAND	0	1	26	0	127	456	485		
DEMAND	0	1	26	30	127	529	484		
DEMAND	0	1	27	0	126	455	485		
DEMAND	0	1	27	30	128	531	479		
DEMAND	0	1	28	0	129	496	481		
DEMAND	0	1	28	30	127	481	483		
DEMAND	0	1	29	0	124	516	482		
DEMAND	0	1	29	30	123	505	477		
DEMAND	0	1	30	0	122	541	489		
DEMAND	0	1	30	30	125	521	485		
DEMAND	0	1	31	0	119	502	480		
DEMAND	0	1	31	30	122	487	482		
DEMAND	0	1	32	0	125	528	476		
DEMAND	0	1	32	30	125	525	489		
DEMAND	0	1	33	0	127	545	477		
DEMAND	0	1	33	30	127	529	488		
DEMAND	0	1	34	0	120	508	472		
DEMAND	0	1	34	30	121	544	479		
DEMAND	0	1	35	0	126	526	484		
DEMAND	0	1	35	30	124	552	495		
DEMAND	0	1	36	0	124	554	474		
DEMAND	0	1	36	30	123	522	484		
DEMAND	0	1	37	0	120	532	474		
DEMAND	0	1	37	30	121	519	477		
DEMAND	0	1	38	0	118	510	473		
DEMAND	0	1	38	30	118	535	478		
DEMAND	0	1	39	0	116	549	473		
DEMAND	0	1	39	30	120	513	488		
DEMAND	0	1	40	0	120	569	486		
DEMAND	0	1	40	30	123	569	489		
DEMAND	0	1	41	0	114	528	471		
DEMAND	0	1	41	30	122	547	477		
DEMAND	0	1	42	0	121	559	485		
DEMAND	0	1	42	30	125	534	481		
DEMAND	0	1	43	0	121	590	494		
DEMAND	0	1	43	30	118	585	475		
DEMAND	0	1	44	0	112	519	483		
DEMAND	0	1	44	30	126	532	477		
DEMAND	0	1	45	0	121	586	488		
DEMAND	0	1	45	30	123	556	481		
DEMAND	0	1	46	0	122	565	478		
DEMAND	0	1	46	30	120	583	473		
DEMAND	0	1	47	0	122	585	488		
DEMAND	0	1	47	30	120	607	488		
DEMAND	0	1	48	0	118	565	495		
DEMAND	0	1	48	30	116	534	483		
DEMAND	0	1	49	0	111	621	466		
DEMAND	0	1	49	30	123	612	486		
DEMAND	0	1	50	0	110	578	477		
DEMAND	0	1	50	30	114	567	478		
DEMAND	0	1	51	0	119	597	487		
DEMAND	0	1	51	30	120	591	489		
DEMAND	0	1	52	0	122	570	490		
DEMAND	0	1	52	30	120	604	466		
DEMAND	0	1	53	0	120	566	485		
DEMAND	0	1	53	30	113	617	486		
DEMAND	0	1	54	0	115	619	501		
DEMAND	0	1	54	30	116	624	493		
DEMAND	0	1	55	0	116	622	480		
DEMAND	0	1	55	30	120	591	469		
DEMAND	0	1	56	0	114	630	478		
DEMAND	0	1	56	30	110	591	477		
DEMAND	0	1	57	0	115	654	480		
DEMAND	0	1	57	30	116	606	489		
DEMAND	0	1	58	0	109	625	491		
DEMAND	0	1	58	30	120	633	479		
DEMAND	0	1	59	0	119	595	493		
DEMAND	0	1	59	30	119	603	492		
DEMAND	0	2	0	0	122	636	486		
DEMAND	0	2	0	30	115	607	492		
DEMAND	0	2	1	0	109	656	492		
DEMAND	0	2	1	30	112	656	476		
DEMAND	0	2	2	0	110	606	471		
DEMAND	0	2	2	30	112	663	478		
DEMAND	0	2	3	0	114	649	471		
DEMAND	0	2	3	30	120	633	489		
DEMAND	0	2	4	0	111	629	482		
DEMAND	0	2	4	30	115	610	482		
DEMAND	0	2	5	0	117	619	482		
DEMAND	0	2	5	30	110	609	487		
DEMAND	0	2	6	0	123	680	487		
DEMAND	0	2	6	30	115	637	503		
DEMAND	0	2	7	0	114	652	488		
DEMAND	0	2	7	30	112	643	496		
DEMAND	0	2	8	0	113	644	492		
DEMAND	0	2	8	30	116	668	505		
DEMAND	0	2	9	0	110	653	485		
DEMAND	0	2	9	30	122	686	500		
DEMAND	0	2	10	0	109	662	487		
DEMAND	0	2	10	30	107	688	484		
DEMAND	0	2	11	0	119	646	514		
DEMAND	0	2	11	30	115	706	483		
DEMAND	0	2	12	0	116	661	481		
DEMAND	0	2	12	30	107	684	500		
DEMAND	0	2	13	0	118	674	483		
DEMAND	0	2	13	30	109	670	519		
DEMAND	0	2	14	0	117	658	489		
DEMAND	0	2	14	30	121	664	512		
DEMAND	0	2	15	0	113	710	496		
DEMAND	0	2	15	30	106	671	506		
DEMAND	0	2	16	0	114	658	496		
DEMAND	0	2	16	30	111	671	496		
DEMAND	0	2	17	0	108	682	494		
DEMAND	0	2	17	30	114	693	491		
DEMAND	0	2	18	0	113	720	493		
DEMAND	0	2	18	30	120	687	508		
DEMAND	0	2	19	0	103	709	500		
DEMAND	0	2	19	30	108	709	497		
DEMAND	0	2	20	0	107	744	497		
DEMAND	0	2	20	30	118	730	510		
DEMAND	0	2	21	0	118	714	488		
DEMAND	0	2	21	30	115	694	486		
DEMAND	0	2	22	0	112	721	493		
DEMAND	0	2	22	30	118	741	495		
DEMAND	0	2	23	0	116	702	488		
DEMAND	0	2	23	30	112	717	491		
DEMAND	0	2	24	0	113	706	492		
DEMAND	0	2	24	30	112	743	518		
DEMAND	0	2	25	0	113	733	490		
DEMAND	0	2	25	30	107	737	502		
DEMAND	0	2	26	0	112	746	510		
DEMAND	0	2	26	30	111	726	503		
DEMAND	0	2	27	0	111	721	515		
DEMAND	0	2	27	30	112	756	516		
DEMAND	0	2	28	0	105	716	504		
DEMAND	0	2	28	30	107	729	534		
DEMAND	0	2	29	0	115	767	517		
DEMAND	0	2	29	30	120	747	504		
DEMAND	0	2	30	0	107	744	516		
DEMAND	0	2	30	30	113	742	540		
DEMAND	0	2	31	0	114	757	534		
DEMAND	0	2	31	30	105	723	537		
DEMAND	0	2	32	0	118	770	534		
DEMAND	0	2	32	30	117	733	496		
DEMAND	0	2	33	0	120	774	533		
DEMAND	0	2	33	30	104	734	541		
DEMAND	0	2	34	0	116	747	517		
DEMAND	0	2	34	30	109	786	527		
DEMAND	0	2	35	0	104	779	532		
DEMAND	0	2	35	30	114	786	501		
DEMAND	0	2	36	0	116	763	502		
DEMAND	0	2	36	30	122	775	542		
DEMAND	0	2	37	0	107	783	522		
DEMAND	0	2	37	30	106	796	528		
DEMAND	0	2	38	0	118	787	529		
DEMAND	0	2	38	30	114	801	551		
DEMAND	0	2	39	0	123	798	523		
DEMAND	0	2	39	30	104	803	545		
DEMAND	0	2	40	0	103	785	506		
DEMAND	0	2	40	30	115	808	541		
DEMAND	0	2	41	0	108	758	524		
DEMAND	0	2	41	30	110	790	536		
DEMAND	0	2	42	0	112	815	540		
DEMAND	0	2	42	30	99	803	545		
DEMAND	0	2	43	0	104	786	508		
DEMAND	0	2	43	30	106	798	540		
DEMAND	0	2	44	0	125	813	534		
DEMAND	0	2	44	30	117	787	545		
DEMAND	0	2	45	0	105	819	536		
DEMAND	0	2	45	30	126	828	542		
DEMAND	0	2	46	0	122	799	533		
DEMAND	0	2	46	30	115	805	538		
DEMAND	0	2	47	0	115	810	532		
DEMAND	0	2	47	30	107	840	517		
DEMAND	0	2	48	0	104	833	552		
DEMAND	0	2	48	30	116	838	535		
DEMAND	0	2	49	0	101	821	544		
DEMAND	0	2	49	30	119	827	519		
DEMAND	0	2	50	0	111	831	510		
DEMAND	0	2	50	30	110	842	561		
DEMAND	0	2	51	0	108	806	543		
DEMAND	0	2	51	30	106	818	546		
DEMAND	0	2	52	0	117	839	524		
DEMAND	0	2	52	30	116	811	529		
DEMAND	0	2	53	0	110	838	534		
DEMAND	0	2	53	30	113	857	545		
DEMAND	0	2	54	0	116	840	571		
DEMAND	0	2	54	30	124	819	564		
DEMAND	0	2	55	0	122	842	572		
DEMAND	0	2	55	30	125	826	538		
DEMAND	0	2	56	0	121	832	549		
DEMAND	0	2	56	30	103	817	556		
DEMAND	0	2	57	0	121	860	544		
DEMAND	0	2	57	30	114	811	540		
DEMAND	0	2	58	0	110	849	545		
DEMAND	0	2	58	30	109	865	535		
DEMAND	0	2	59	0	111	842	578		
DEMAND	0	2	59	30	114	841	578		
DEMAND	0	3	0	0	118	857	588		
DEMAND	0	3	0	30	100	825	552		
DEMAND	0	3	1	0	120	857	534		
DEMAND	0	3	1	30	114	850	533		
DEMAND	0	3	2	0	112	864	554		
DEMAND	0	3	2	30	104	859	544		
DEMAND	0	3	3	0	124	851	584		
DEMAND	0	3	3	30	114	850	581		
DEMAND	0	3	4	0	123	870	578		
DEMAND	0	3	4	30	128	863	537		
DEMAND	0	3	5	0	110	875	552		
DEMAND	0	3	5	30	116	853	564		
DEMAND	0	3	6	0	115	869	562		
DEMAND	0	3	6	30	102	862	570		
DEMAND	0	3	7	0	122	875	555		
DEMAND	0	3	7	30	116	880	555		
DEMAND	0	3	8	0	125	865	593		
DEMAND	0	3	8	30	113	878	556		
DEMAND	0	3	9	0	120	872	589		
DEMAND	0	3	9	30	109	882	559		
DEMAND	0	3	10	0	125	865	590		
DEMAND	0	3	10	30	123	863	568		
DEMAND	0	3	11	0	119	876	579		
DEMAND	0	3	11	30	119	881	558		
DEMAND	0	3	12	0	114	881	591		
DEMAND	0	3	12	30	120	887	575		
DEMAND	0	3	13	0	98	899	560		
DEMAND	0	3	13	30	119	888	597		
DEMAND	0	3	14	0	102	898	552		
DEMAND	0	3	14	30	117	908	562		
DEMAND	0	3	15	0	124	881	570		
DEMAND	0	3	15	30	123	911	577		
DEMAND	0	3	16	0	111	881	594		
DEMAND	0	3	16	30	107	888	599		
DEMAND	0	3	17	0	99	880	596		
DEMAND	0	3	17	30	120	899	593		
DEMAND	0	3	18	0	104	899	594		
DEMAND	0	3	18	30	120	901	606		
DEMAND	0	3	19	0	111	923	616		
DEMAND	0	3	19	30	107	919	572		
DEMAND	0	3	20	0	126	889	557		
DEMAND	0	3	20	30	111	915	612		
DEMAND	0	3	21	0	116	902	584		
DEMAND	0	3	21	30	118	889	626		
DEMAND	0	3	22	0	113	909	618		
DEMAND	0	3	22	30	122	914	597		
DEMAND	0	3	23	0	114	937	614		
DEMAND	0	3	23	30	122	911	590		
DEMAND	0	3	24	0	106	909	630		
DEMAND	0	3	24	30	130	908	581		
DEMAND	0	3	25	0	126	911	594		
DEMAND	0	3	25	30	117	895	571		
DEMAND	0	3	26	0	128	916	589		
DEMAND	0	3	26	30	108	907	615		
DEMAND	0	3	27	0	128	904	624		
DEMAND	0	3	27	30	103	920	588		
DEMAND	0	3	28	0	105	928	604		
DEMAND	0	3	28	30	110	943	598		
DEMAND	0	3	29	0	105	942	620		
DEMAND	0	3	29	30	120	927	634		
DEMAND	0	3	30	0	109	928	615		
DEMAND	0	3	30	30	109	956	605		
DEMAND	0	3	31	0	101	938	612		
DEMAND	0	3	31	30	130	935	608		
DEMAND	0	3	32	0	113	935	601		
DEMAND	0	3	32	30	102	926	643		
DEMAND	0	3	33	0	108	934	581		
DEMAND	0	3	33	30	117	947	601		
DEMAND	0	3	34	0	114	924	600		
DEMAND	0	3	34	30	106	963	634		
DEMAND	0	3	35	0	107	941	640		
DEMAND	0	3	35	30	101	924	606		
DEMAND	0	3	36	0	127	938	605		
DEMAND	0	3	36	30	132	933	587		
DEMAND	0	3	37	0	108	943	623		
DEMAND	0	3	37	30	119	938	633		
DEMAND	0	3	38	0	135	925	604		
DEMAND	0	3	38	30	113	948	647		
DEMAND	0	3	39	0	120	934	596		
DEMAND	0	3	39	30	107	933	610		
DEMAND	0	3	40	0	121	940	596		
DEMAND	0	3	40	30	106	963	634		
DEMAND	0	3	41	0	110	960	653		
DEMAND	0	3	41	30	102	964	636		
DEMAND	0	3	42	0	107	941	659		
DEMAND	0	3	42	30	100	958	609		
DEMAND	0	3	43	0	116	954	650		
DEMAND	0	3	43	30	121	967	653		
DEMAND	0	3	44	0	114	952	639		
DEMAND	0	3	44	30	124	939	633		
DEMAND	0	3	45	0	97	971	621		
DEMAND	0	3	45	30	133	968	606		
DEMAND	0	3	46	0	107	973	619		
DEMAND	0	3	46	30	109	956	650		
DEMAND	0	3	47	0	109	948	644		
DEMAND	0	3	47	30	115	972	649		
DEMAND	0	3	48	0	130	976	623		
DEMAND	0	3	48	30	118	948	649		
DEMAND	0	3	49	0	114	975	633		
DEMAND	0	3	49	30	137	971	616		
DEMAND	0	3	50	0	124	955	637		
DEMAND	0	3	50	30	117	951	645		
DEMAND	0	3	51	0	126	975	629		
DEMAND	0	3	51	30	110	951	663		
DEMAND	0	3	52	0	125	967	669		
DEMAND	0	3	52	30	121	969	626		
DEMAND	0	3	53	0	125	958	646		
DEMAND	0	3	53	30	106	981	672		
DEMAND	0	3	54	0	123	972	664		
DEMAND	0	3	54	30	116	977	624		
DEMAND	0	3	55	0	142	964	674		
DEMAND	0	3	55	30	137	979	663		
DEMAND	0	3	56	0	142	971	662		
DEMAND	0	3	56	30	130	972	637		
DEMAND	0	3	57	0	111	963	667		
DEMAND	0	3	57	30	145	981	626		
DEMAND	0	3	58	0	111	983	676		
DEMAND	0	3	58	30	104	975	624		
DEMAND	0	3	59	0	104	978	658		
DEMAND	0	3	59	30	112	966	655		
DEMAND	0	4	0	0	120	984	657		
DEMAND	0	4	0	30	120	974	644		
DEMAND	0	4	1	0	138	976	657		
DEMAND	0	4	1	30	127	970	647		
DEMAND	0	4	2	0	122	974	635		
DEMAND	0	4	2	30	111	986	643		
DEMAND	0	4	3	0	120	973	634		
DEMAND	0	4	3	30	122	962	655		
DEMAND	0	4	4	0	109	984	640		
DEMAND	0	4	4	30	115	971	634		
DEMAND	0	4	5	0	130	965	643		
DEMAND	0	4	5	30	121	965	667		
DEMAND	0	4	6	0	133	977	656		
DEMAND	0	4	6	30	138	983	670		
DEMAND	0	4	7	0	118	975	689		
DEMAND	0	4	7	30	135	983	696		
DEMAND	0	4	8	0	128	970	659		
DEMAND	0	4	8	30	122	973	662		
DEMAND	0	4	9	0	114	984	669		
DEMAND	0	4	9	30	123	979	684		
DEMAND	0	4	10	0	131	987	685		
DEMAND	0	4	10	30	145	969	649		
DEMAND	0	4	11	0	132	996	692		
DEMAND	0	4	11	30	106	988	678		
DEMAND	0	4	12	0	146	970	662		
DEMAND	0	4	12	30	146	982	661		
DEMAND	0	4	13	0	134	970	681		
DEMAND	0	4	13	30	133	965	687		
DEMAND	0	4	14	0	124	985	686		
DEMAND	0	4	14	30	129	978	670		
DEMAND	0	4	15	0	127	984	665		
DEMAND	0	4	15	30	134	976	665		
DEMAND	0	4	16	0	135	972	692		
DEMAND	0	4	16	30	141	986	664		
DEMAND	0	4	17	0	118	989	677		
DEMAND	0	4	17	30	133	988	670		
DEMAND	0	4	18	0	160	986	690		
DEMAND	0	4	18	30	125	973	678		
DEMAND	0	4	19	0	154	972	686		
DEMAND	0	4	19	30	141	983	693		
DEMAND	0	4	20	0	132	982	687		
DEMAND	0	4	20	30	152	986	670		
DEMAND	0	4	21	0	127	982	676		
DEMAND	0	4	21	30	139	992	657		
DEMAND	0	4	22	0	125	984	662		
DEMAND	0	4	22	30	157	972	699		
DEMAND	0	4	23	0	150	971	657		
DEMAND	0	4	23	30	158	983	694		
DEMAND	0	4	24	0	157	996	672		
DEMAND	0	4	24	30	160	992	672		
DEMAND	0	4	25	0	139	989	672		
DEMAND	0	4	25	30	129	965	695		
DEMAND	0	4	26	0	139	984	665		
DEMAND	0	4	26	30	145	989	698		
DEMAND	0	4	27	0	134	977	691		
DEMAND	0	4	27	30	165	1004	702		
DEMAND	0	4	28	0	152	964	669		
DEMAND	0	4	28	30	154	980	695		
DEMAND	0	4	29	0	154	976	685		
DEMAND	0	4	29	30	164	993	672		
DEMAND	0	4	30	0	146	990	687		
DEMAND	0	4	30	30	148	965	666		
DEMAND	0	4	31	0	146	973	704		
DEMAND	0	4	31	30	143	981	711		
DEMAND	0	4	32	0	162	995	685		
DEMAND	0	4	32	30	146	982	707		
DEMAND	0	4	33	0	159	983	685		
DEMAND	0	4	33	30	163	987	687		
DEMAND	0	4	34	0	160	985	680		
DEMAND	0	4	34	30	169	986	671		
DEMAND	0	4	35	0	165	960	686		
DEMAND	0	4	35	30	146	989	712		
DEMAND	0	4	36	0	146	975	696		
DEMAND	0	4	36	30	174	973	697		
DEMAND	0	4	37	0	170	972	679		
DEMAND	0	4	37	30	167	969	696		
DEMAND	0	4	38	0	164	980	707		
DEMAND	0	4	38	30	175	973	686		
DEMAND	0	4	39	0	154	972	689		
DEMAND	0	4	39	30	194	980	714		
DEMAND	0	4	40	0	166	970	684		
DEMAND	0	4	40	30	179	966	688		
DEMAND	0	4	41	0	166	978	689		
DEMAND	0	4	41	30	189	987	684		
DEMAND	0	4	42	0	184	977	681		
DEMAND	0	4	42	30	179	968	691		
DEMAND	0	4	43	0	183	971	692		
DEMAND	0	4	43	30	181	975	716		
DEMAND	0	4	44	0	171	962	679		
DEMAND	0	4	44	30	181	952	709		
DEMAND	0	4	45	0	170	986	706		
DEMAND	0	4	45	30	199	962	718		
DEMAND	0	4	46	0	208	961	690		
DEMAND	0	4	46	30	193	992	711		
DEMAND	0	4	47	0	212	984	712		
DEMAND	0	4	47	30	184	964	713		
DEMAND	0	4	48	0	186	985	706		
DEMAND	0	4	48	30	213	948	690		
DEMAND	0	4	49	0	217	967	710		
DEMAND	0	4	49	30	185	965	695		
DEMAND	0	4	50	0	194	943	695		
DEMAND	0	4	50	30	224	990	688		
DEMAND	0	4	51	0	209	980	701		
DEMAND	0	4	51	30	226	962	714		
DEMAND	0	4	52	0	224	944	702		
DEMAND	0	4	52	30	223	966	687		
DEMAND	0	4	53	0	232	972	716		
DEMAND	0	4	53	30	245	973	683		
DEMAND	0	4	54	0	228	949	707		
DEMAND	0	4	54	30	246	951	693		
DEMAND	0	4	55	0	230	976	703		
DEMAND	0	4	55	30	258	978	700		
DEMAND	0	4	56	0	238	946	696		
DEMAND	0	4	56	30	255	948	695		
DEMAND	0	4	57	0	270	970	698		
DEMAND	0	4	57	30	265	939	701		
DEMAND	0	4	58	0	248	949	694		
DEMAND	0	4	58	30	294	938	698		
DEMAND	0	4	59	0	271	941	706		
DEMAND	0	4	59	30	278	952	698		
DEMAND	0	5	0	0	268	940	695		
DEMAND	0	5	0	30	282	965	701		
DEMAND	0	5	1	0	294	968	695		
DEMAND	0	5	1	30	299	946	698		
DEMAND	0	5	2	0	304	925	689		
DEMAND	0	5	2	30	288	948	720		
DEMAND	0	5	3	0	278	959	693		
DEMAND	0	5	3	30	306	952	703		
DEMAND	0	5	4	0	274	959	695		
DEMAND	0	5	4	30	309	927	699		
DEMAND	0	5	5	0	293	941	702		
DEMAND	0	5	5	30	305	939	698		
DEMAND	0	5	6	0	286	933	684		
DEMAND	0	5	6	30	310	951	689		
DEMAND	0	5	7	0	284	949	702		
DEMAND	0	5	7	30	289	944	710		
DEMAND	0	5	8	0	274	920	695		
DEMAND	0	5	8	30	308	957	701		
DEMAND	0	5	9	0	327	932	708		
DEMAND	0	5	9	30	297	915	700		
DEMAND	0	5	10	0	323	928	689		
DEMAND	0	5	10	30	304	912	689		
DEMAND	0	5	11	0	305	928	689		
DEMAND	0	5	11	30	299	952	694		
DEMAND	0	5	12	0	307	922	701		
DEMAND	0	5	12	30	298	953	702		
DEMAND	0	5	13	0	302	942	691		
DEMAND	0	5	13	30	298	916	696		
DEMAND	0	5	14	0	334	908	700		
DEMAND	0	5	14	30	320	946	692		
DEMAND	0	5	15	0	288	948	695		
DEMAND	0	5	15	30	334	929	694		
DEMAND	0	5	16	0	339	906	683		
DEMAND	0	5	16	30	350	928	700		
DEMAND	0	5	17	0	316	943	679		
DEMAND	0	5	17	30	347	898	692		
DEMAND	0	5	18	0	318	936	699		
DEMAND	0	5	18	30	313	944	689		
DEMAND	0	5	19	0	323	944	677		
DEMAND	0	5	19	30	328	908	701		
DEMAND	0	5	20	0	341	932	692		
DEMAND	0	5	20	30	340	929	690		
DEMAND	0	5	21	0	347	889	683		
DEMAND	0	5	21	30	353	885	686		
DEMAND	0	5	22	0	324	927	680		
DEMAND	0	5	22	30	342	916	703		
DEMAND	0	5	23	0	363	934	689		
DEMAND	0	5	23	30	319	889	692		
DEMAND	0	5	24	0	351	877	690		
DEMAND	0	5	24	30	355	929	689		
DEMAND	0	5	25	0	348	934	687		
DEMAND	0	5	25	30	343	908	697		
DEMAND	0	5	26	0	355	886	672		
DEMAND	0	5	26	30	363	906	695		
DEMAND	0	5	27	0	360	913	694		
