

Successful end at 113-04-02 13:33:16
Day,Time, dmd.NA, dmd.EU, dmd.AP, dmd.tot, w.NA, w.EU, w.AP, j.NA, j.EU, j.AP, d.NA, d.EU, d.AP, maxrev, rev, costs, profit, %profit, totpft, %totpft, dist.w.NA, dist.w.EU, dist.w.AP, dist.j.NA, dist.j.EU, dist.j.AP, dist.d.NA, dist.d.EU, dist.d.AP, dist.tot, con.w.NA, con.w.EU, con.w.AP, con.j.NA, con.j.EU, con.j.AP, con.d.NA, con.d.EU, con.d.AP 
MON,00:07:30,180,252,596,1028,1,2,4,1,1,2,0,0,1,92,88,60,28,30.43,98,6.72,180,252,596,180,252,596,0,0,984,984,0,0,0,0,0,0,0,0,0
MON,00:08:00,175,250,583,1008,1,2,4,1,1,2,0,0,1,90,86,60,26,28.89,124,8.01,175,250,583,175,250,583,0,0,965,965,0,0,0,0,0,0,0,0,0
MON,00:08:30,165,247,578,990,1,2,4,1,1,2,0,0,1,89,85,60,25,28.09,149,9.10,165,247,578,165,247,578,0,0,948,948,0,0,0,0,0,0,0,0,0
MON,00:09:00,178,263,600,1041,1,2,4,1,1,2,0,0,1,93,89,60,29,31.18,178,10.28,178,263,600,178,263,600,0,0,996,996,0,0,0,0,0,0,0,0,0
MON,00:09:30,177,267,578,1022,1,2,4,1,1,2,0,0,1,91,87,60,27,29.67,205,11.25,177,267,578,177,267,578,0,0,977,977,0,0,0,0,0,0,0,0,0
MON,00:10:00,166,267,586,1019,1,2,4,1,1,2,0,0,1,91,87,60,27,29.67,232,12.13,166,267,586,166,267,586,0,0,975,975,0,0,0,0,0,0,0,0,0
MON,00:10:30,175,261,599,1035,1,2,4,1,1,2,0,0,1,93,89,60,29,31.18,261,13.01,175,261,599,175,261,599,0,0,990,990,0,0,0,0,0,0,0,0,0
MON,00:11:00,161,266,585,1012,1,2,4,1,1,2,0,0,1,91,87,60,27,29.67,288,13.73,161,266,585,161,266,585,0,0,968,968,0,0,0,0,0,0,0,0,0
MON,00:11:30,168,263,604,1035,1,2,4,1,1,2,0,0,1,93,89,60,29,31.18,317,14.47,168,263,604,168,263,604,0,0,991,991,0,0,0,0,0,0,0,0,0
MON,00:12:00,168,273,575,1016,1,2,4,1,1,2,0,0,1,91,87,60,27,29.67,344,15.08,168,273,575,168,273,575,0,0,971,971,0,0,0,0,0,0,0,0,0
MON,00:12:30,174,277,577,1028,1,2,4,1,1,2,0,0,1,92,88,60,28,30.43,372,15.68,174,277,577,174,277,577,0,0,982,982,0,0,0,0,0,0,0,0,0
MON,00:13:00,179,260,576,1015,1,2,4,1,1,2,0,0,1,91,87,60,27,29.67,399,16.19,179,260,576,179,260,576,0,0,971,971,0,0,0,0,0,0,0,0,0
MON,00:13:30,171,269,580,1020,1,2,4,1,1,2,0,0,1,91,87,60,27,29.67,426,16.67,171,269,580,171,269,580,0,0,975,975,0,0,0,0,0,0,0,0,0
MON,00:14:00,173,292,602,1067,1,2,4,1,1,2,0,0,1,96,82,60,22,22.92,448,16.90,173,292,602,173,292,602,0,0,1019,917,0,0,0,0,0,0,0,0,0
MON,00:14:30,175,260,578,1013,1,2,4,1,1,2,0,0,1,91,87,60,27,29.67,475,17.32,175,260,578,175,260,578,0,0,969,969,0,0,0,0,0,0,0,0,0
MON,00:15:00,173,252,591,1016,1,2,4,1,1,2,0,0,1,91,87,60,27,29.67,502,17.72,173,252,591,173,252,591,0,0,972,972,0,0,0,0,0,0,0,0,0
MON,00:15:30,176,277,579,1032,1,2,4,1,1,2,0,0,1,92,88,60,28,30.43,530,18.12,176,277,579,176,277,579,0,0,986,986,0,0,0,0,0,0,0,0,0
MON,00:16:00,167,273,560,1000,1,2,4,1,1,2,0,0,1,90,85,60,25,27.78,555,18.41,167,273,560,167,273,560,0,0,955,955,0,0,0,0,0,0,0,0,0
MON,00:16:30,170,262,558,990,1,2,4,1,1,2,0,0,1,89,85,60,25,28.09,580,18.69,170,262,558,170,262,558,0,0,946,946,0,0,0,0,0,0,0,0,0
MON,00:17:00,171,287,583,1041,1,2,4,1,1,2,0,0,1,93,89,60,29,31.18,609,19.05,171,287,583,171,287,583,0,0,994,994,0,0,0,0,0,0,0,0,0
MON,00:17:30,169,289,545,1003,1,2,4,1,1,2,0,0,1,90,86,60,26,28.89,635,19.32,169,289,545,169,289,545,0,0,957,957,0,0,0,0,0,0,0,0,0
MON,00:18:00,169,258,557,984,1,2,4,1,1,2,0,0,1,88,84,60,24,27.27,659,19.53,169,258,557,169,258,557,0,0,941,941,0,0,0,0,0,0,0,0,0
MON,00:18:30,170,260,545,975,1,2,4,1,1,2,0,0,1,87,83,60,23,26.44,682,19.70,170,260,545,170,260,545,0,0,932,932,0,0,0,0,0,0,0,0,0
MON,00:19:00,160,303,579,1042,1,2,4,1,1,2,0,0,1,93,89,60,29,31.18,711,20.00,160,303,579,160,303,579,0,0,995,995,0,0,0,0,0,0,0,0,0
MON,00:19:30,163,300,569,1032,1,2,4,1,1,2,0,0,1,92,88,60,28,30.43,739,20.26,163,300,569,163,300,569,0,0,985,985,0,0,0,0,0,0,0,0,0
MON,00:20:00,166,273,553,992,1,2,4,1,1,2,0,0,1,89,85,60,25,28.09,764,20.45,166,273,553,166,273,553,0,0,947,947,0,0,0,0,0,0,0,0,0
MON,00:20:30,171,271,557,999,1,2,4,1,1,2,0,0,1,89,85,60,25,28.09,789,20.63,171,271,557,171,271,557,0,0,953,953,0,0,0,0,0,0,0,0,0
MON,00:21:00,169,283,546,998,1,2,4,1,1,2,0,0,1,89,85,60,25,28.09,814,20.80,169,283,546,169,283,546,0,0,952,952,0,0,0,0,0,0,0,0,0
MON,00:21:30,158,262,568,988,1,2,4,1,1,2,0,0,1,88,85,60,25,28.41,839,20.96,158,262,568,158,262,568,0,0,945,945,0,0,0,0,0,0,0,0,0
MON,00:22:00,167,286,547,1000,1,2,4,1,1,2,0,0,1,90,85,60,25,27.78,864,21.11,167,286,547,167,286,547,0,0,954,954,0,0,0,0,0,0,0,0,0
MON,00:22:30,162,274,567,1003,1,2,4,1,1,2,0,0,1,90,86,60,26,28.89,890,21.28,162,274,567,162,274,567,0,0,958,958,0,0,0,0,0,0,0,0,0
MON,00:23:00,169,280,558,1007,1,2,4,1,1,2,0,0,1,90,86,60,26,28.89,916,21.44,169,280,558,169,280,558,0,0,962,962,0,0,0,0,0,0,0,0,0
MON,00:23:30,167,288,554,1009,1,2,4,1,1,2,0,0,1,90,86,60,26,28.89,942,21.60,167,288,554,167,288,554,0,0,963,963,0,0,0,0,0,0,0,0,0
MON,00:24:00,158,271,569,998,1,2,4,1,1,2,0,0,1,89,85,60,25,28.09,967,21.73,158,271,569,158,271,569,0,0,954,954,0,0,0,0,0,0,0,0,0
MON,00:24:30,166,268,546,980,1,2,4,1,1,2,0,0,1,88,84,60,24,27.27,991,21.83,166,268,546,166,268,546,0,0,936,936,0,0,0,0,0,0,0,0,0
MON,00:25:00,159,308,540,1007,1,2,4,1,1,2,0,0,1,90,86,60,26,28.89,1017,21.97,159,308,540,159,308,540,0,0,960,960,0,0,0,0,0,0,0,0,0
MON,00:25:30,166,286,551,1003,1,2,4,1,1,2,0,0,1,90,86,60,26,28.89,1043,22.10,166,286,551,166,286,551,0,0,957,957,0,0,0,0,0,0,0,0,0
MON,00:26:00,164,277,536,977,1,2,4,1,1,2,0,0,1,87,83,60,23,26.44,1066,22.18,164,277,536,164,277,536,0,0,932,932,0,0,0,0,0,0,0,0,0
MON,00:26:30,161,307,534,1002,1,2,4,1,1,2,0,0,1,90,85,60,25,27.78,1091,22.28,161,307,534,161,307,534,0,0,954,954,0,0,0,0,0,0,0,0,0
MON,00:27:00,158,284,539,981,1,2,4,1,1,2,0,0,1,88,84,60,24,27.27,1115,22.37,158,284,539,158,284,539,0,0,936,936,0,0,0,0,0,0,0,0,0
MON,00:27:30,157,302,526,985,1,2,4,1,1,2,0,0,1,88,84,60,24,27.27,1139,22.46,157,302,526,157,302,526,0,0,938,938,0,0,0,0,0,0,0,0,0
MON,00:28:00,159,304,530,993,1,2,4,1,1,2,0,0,1,89,85,60,25,28.09,1164,22.55,159,304,530,159,304,530,0,0,946,946,0,0,0,0,0,0,0,0,0
MON,00:28:30,165,308,564,1037,1,2,4,1,1,2,0,0,1,93,89,60,29,31.18,1193,22.71,165,308,564,165,308,564,0,0,989,989,0,0,0,0,0,0,0,0,0
MON,00:29:00,156,304,549,1009,1,2,4,1,1,2,0,0,1,90,86,60,26,28.89,1219,22.81,156,304,549,156,304,549,0,0,962,962,0,0,0,0,0,0,0,0,0
MON,00:29:30,163,308,554,1025,1,2,4,1,1,2,0,0,1,92,87,60,27,29.35,1246,22.92,163,308,554,163,308,554,0,0,977,977,0,0,0,0,0,0,0,0,0
MON,00:30:00,163,314,546,1023,1,2,4,1,1,2,0,0,1,92,87,60,27,29.35,1273,23.03,163,314,546,163,314,546,0,0,974,974,0,0,0,0,0,0,0,0,0
MON,00:30:30,162,313,532,1007,1,2,4,1,1,2,0,0,1,90,86,60,26,28.89,1299,23.12,162,313,532,162,313,532,0,0,958,958,0,0,0,0,0,0,0,0,0
MON,00:31:00,160,302,532,994,1,2,4,1,1,2,0,0,1,89,85,60,25,28.09,1324,23.20,160,302,532,160,302,532,0,0,947,947,0,0,0,0,0,0,0,0,0
MON,00:31:30,159,319,545,1023,1,2,4,1,1,2,0,0,1,92,87,60,27,29.35,1351,23.30,159,319,545,159,319,545,0,0,975,975,0,0,0,0,0,0,0,0,0
MON,00:32:00,157,311,533,1001,1,2,4,1,1,2,0,0,1,90,85,60,25,27.78,1376,23.37,157,311,533,157,311,533,0,0,953,953,0,0,0,0,0,0,0,0,0
MON,00:32:30,155,287,554,996,1,2,4,1,1,2,0,0,1,89,85,60,25,28.09,1401,23.44,155,287,554,155,287,554,0,0,951,951,0,0,0,0,0,0,0,0,0
MON,00:33:00,156,330,530,1016,1,2,4,1,1,2,0,0,1,91,87,60,27,29.67,1428,23.53,156,330,530,156,330,530,0,0,967,967,0,0,0,0,0,0,0,0,0
MON,00:33:30,156,319,539,1014,1,2,4,1,1,2,0,0,1,91,86,60,26,28.57,1454,23.60,156,319,539,156,319,539,0,0,966,966,0,0,0,0,0,0,0,0,0
MON,00:34:00,160,332,519,1011,1,2,4,1,1,2,0,0,1,90,86,60,26,28.89,1480,23.68,160,332,519,160,332,519,0,0,961,961,0,0,0,0,0,0,0,0,0
MON,00:34:30,161,288,526,975,1,2,4,1,1,2,0,0,1,87,83,60,23,26.44,1503,23.72,161,288,526,161,288,526,0,0,929,929,0,0,0,0,0,0,0,0,0
MON,00:35:00,159,321,529,1009,1,2,4,1,1,2,0,0,1,90,86,60,26,28.89,1529,23.79,159,321,529,159,321,529,0,0,960,960,0,0,0,0,0,0,0,0,0
MON,00:35:30,159,310,548,1017,1,2,4,1,1,2,0,0,1,91,87,60,27,29.67,1556,23.87,159,310,548,159,310,548,0,0,970,970,0,0,0,0,0,0,0,0,0
MON,00:36:00,159,338,552,1049,1,2,4,1,1,2,0,0,1,94,89,60,29,30.85,1585,23.97,159,338,552,159,338,552,0,0,999,999,0,0,0,0,0,0,0,0,0
MON,00:36:30,152,330,522,1004,1,2,3,1,1,2,0,0,1,90,85,57,28,31.11,1613,24.07,152,330,522,152,330,522,0,0,955,955,0,0,-1,0,0,0,0,0,0
MON,00:37:00,155,329,518,1002,1,2,3,1,1,2,0,0,1,90,85,57,28,31.11,1641,24.16,155,329,518,155,329,518,0,0,953,953,0,0,0,0,0,0,0,0,0
MON,00:37:30,152,322,539,1013,1,2,3,1,1,2,0,0,1,91,86,57,29,31.87,1670,24.26,152,322,539,152,322,539,0,0,964,964,0,0,0,0,0,0,0,0,0
MON,00:38:00,155,328,519,1002,1,2,3,1,1,2,0,0,1,90,85,57,28,31.11,1698,24.35,155,328,519,155,328,519,0,0,953,953,0,0,0,0,0,0,0,0,0
MON,00:38:30,150,312,538,1000,1,2,3,1,1,2,0,0,1,90,85,57,28,31.11,1726,24.44,150,312,538,150,312,538,0,0,953,953,0,0,0,0,0,0,0,0,0
MON,00:39:00,157,344,515,1016,1,2,3,1,1,2,0,0,1,91,86,57,29,31.87,1755,24.53,157,344,515,157,344,515,0,0,965,965,0,0,0,0,0,0,0,0,0
MON,00:39:30,151,303,524,978,1,2,3,1,1,2,0,0,1,88,83,57,26,29.55,1781,24.59,151,303,524,151,303,524,0,0,931,931,0,0,0,0,0,0,0,0,0
MON,00:40:00,151,325,522,998,1,2,3,1,1,2,0,0,1,89,85,57,28,31.46,1809,24.68,151,325,522,151,325,522,0,0,949,949,0,0,0,0,0,0,0,0,0
MON,00:40:30,152,329,545,1026,1,2,3,1,1,2,0,0,1,92,82,57,25,27.17,1834,24.71,152,329,545,152,329,490,0,0,922,922,0,0,0,0,0,0,0,0,0
MON,00:41:00,148,307,526,981,1,2,3,1,1,2,0,0,1,88,84,57,27,30.68,1861,24.78,148,307,526,148,307,526,0,0,935,935,0,0,0,0,0,0,0,0,0
MON,00:41:30,153,316,525,994,1,2,3,1,1,2,0,0,1,89,85,57,28,31.46,1889,24.86,153,316,525,153,316,525,0,0,946,946,0,0,0,0,0,0,0,0,0
MON,00:42:00,149,349,508,1006,1,2,3,1,1,2,0,0,1,90,86,57,29,32.22,1918,24.94,149,349,508,149,349,508,0,0,956,956,0,0,0,0,0,0,0,0,0
MON,00:42:30,150,354,524,1028,1,2,3,1,1,2,0,0,1,92,87,57,30,32.61,1948,25.03,150,354,524,150,354,524,0,0,977,977,0,0,0,0,0,0,0,0,0
MON,00:43:00,151,357,528,1036,1,2,3,1,1,2,0,0,1,93,88,57,31,33.33,1979,25.13,151,357,528,151,357,528,0,0,984,984,0,0,0,0,0,0,0,0,0
MON,00:43:30,152,339,535,1026,1,2,3,1,1,2,0,0,1,92,87,57,30,32.61,2009,25.22,152,339,535,152,339,535,0,0,976,976,0,0,0,0,0,0,0,0,0
MON,00:44:00,153,326,514,993,1,2,3,1,1,2,0,0,1,89,84,57,27,30.34,2036,25.27,153,326,514,153,326,514,0,0,944,944,0,0,0,0,0,0,0,0,0
MON,00:44:30,147,348,513,1008,1,2,3,1,1,2,0,0,1,90,86,57,29,32.22,2065,25.35,147,348,513,147,348,513,0,0,958,958,0,0,0,0,0,0,0,0,0
MON,00:45:00,150,356,508,1014,1,2,3,1,1,2,0,0,1,91,86,57,29,31.87,2094,25.42,150,356,508,150,356,508,0,0,963,963,0,0,0,0,0,0,0,0,0
MON,00:45:30,152,360,527,1039,1,2,3,1,1,2,0,0,1,93,88,57,31,33.33,2125,25.51,152,360,527,152,360,527,0,0,987,987,0,0,0,0,0,0,0,0,0
MON,00:46:00,151,332,519,1002,1,2,3,1,1,2,0,0,1,90,85,57,28,31.11,2153,25.57,151,332,519,151,332,519,0,0,952,952,0,0,0,0,0,0,0,0,0
MON,00:46:30,147,358,513,1018,1,2,3,1,1,2,0,0,1,91,87,57,30,32.97,2183,25.65,147,358,513,147,358,513,0,0,967,967,0,0,0,0,0,0,0,0,0
MON,00:47:00,148,363,509,1020,1,2,3,1,1,2,0,0,1,91,84,57,27,29.67,2210,25.69,148,363,509,148,326,509,0,0,935,935,0,0,0,0,0,0,0,0,0
MON,00:47:30,147,339,512,998,1,2,3,1,1,2,0,0,1,89,85,57,28,31.46,2238,25.75,147,339,512,147,339,512,0,0,949,949,0,0,0,0,0,0,0,0,0
MON,00:48:00,150,352,507,1009,1,2,3,1,1,2,0,0,1,90,86,57,29,32.22,2267,25.82,150,352,507,150,352,507,0,0,958,958,0,0,0,0,0,0,0,0,0
MON,00:48:30,150,360,503,1013,1,2,3,1,1,2,0,0,1,91,86,57,29,31.87,2296,25.88,150,360,503,150,360,503,0,0,962,962,0,0,0,0,0,0,0,0,0
MON,00:49:00,147,355,508,1010,1,2,3,1,1,2,0,0,1,90,86,57,29,32.22,2325,25.94,147,355,508,147,355,508,0,0,959,959,0,0,0,0,0,0,0,0,0
MON,00:49:30,144,362,526,1032,1,2,3,1,1,2,0,0,1,92,85,57,28,30.43,2353,25.99,144,362,526,144,325,526,0,0,947,947,0,0,0,0,0,0,0,0,0
MON,00:50:00,149,359,510,1018,1,2,3,1,1,2,0,0,1,91,87,57,30,32.97,2383,26.06,149,359,510,149,359,510,0,0,967,967,0,0,0,0,0,0,0,0,0
MON,00:50:30,143,351,511,1005,1,2,3,1,1,2,0,0,1,90,85,57,28,31.11,2411,26.11,143,351,511,143,351,511,0,0,954,954,0,0,0,0,0,0,0,0,0
MON,00:51:00,147,359,519,1025,1,2,3,1,1,2,0,0,1,92,87,57,30,32.61,2441,26.17,147,359,519,147,359,519,0,0,974,974,0,0,0,0,0,0,0,0,0
MON,00:51:30,147,366,505,1018,1,2,3,1,1,2,0,0,1,91,83,57,26,28.57,2467,26.19,147,366,505,147,329,505,0,0,933,933,0,0,0,0,0,0,0,0,0
MON,00:52:00,142,382,508,1032,1,2,3,1,1,2,0,0,1,92,84,57,27,29.35,2494,26.23,142,382,508,142,343,508,0,0,943,943,0,0,0,0,0,0,0,0,0
MON,00:52:30,144,353,513,1010,1,2,3,1,1,2,0,0,1,90,86,57,29,32.22,2523,26.28,144,353,513,144,353,513,0,0,959,959,0,0,0,0,0,0,0,0,0
MON,00:53:00,146,394,511,1051,1,2,3,1,1,2,0,0,1,94,86,57,29,30.85,2552,26.33,146,394,511,146,354,511,0,0,960,960,0,0,0,0,0,0,0,0,0
MON,00:53:30,141,402,510,1053,1,2,3,1,1,2,0,0,1,94,86,57,29,30.85,2581,26.37,142,400,510,142,360,510,0,0,961,961,0,0,0,0,0,0,0,0,0
MON,00:54:00,143,349,504,996,1,2,3,1,1,2,0,0,1,89,85,57,28,31.46,2609,26.41,143,349,504,143,349,504,0,0,946,946,0,0,0,0,0,0,0,0,0
MON,00:54:30,141,357,515,1013,1,2,3,1,1,2,0,0,1,91,86,57,29,31.87,2638,26.46,141,357,515,141,357,515,0,0,962,962,0,1,0,0,0,0,0,0,0
MON,00:55:00,142,376,496,1014,1,2,3,1,1,2,0,0,1,91,83,57,26,28.57,2664,26.48,142,376,496,142,338,496,0,0,927,927,0,0,0,0,0,0,0,0,0
MON,00:55:30,143,388,506,1037,1,3,3,1,1,2,0,0,1,93,88,60,28,30.11,2692,26.52,143,388,506,143,388,506,0,0,983,983,0,0,0,0,0,0,0,0,0
MON,00:56:00,139,382,506,1027,1,3,3,1,1,2,0,0,1,92,87,60,27,29.35,2719,26.54,139,382,506,139,382,506,0,0,974,974,0,0,0,0,0,0,0,0,0
MON,00:56:30,141,382,501,1024,1,3,3,1,1,2,0,0,1,92,87,60,27,29.35,2746,26.57,141,382,501,141,382,501,0,0,970,970,0,0,0,0,0,0,0,0,0
MON,00:57:00,140,391,501,1032,1,3,3,1,1,2,0,0,1,92,88,60,28,30.43,2774,26.60,140,391,501,140,391,501,0,0,978,978,0,0,0,0,0,0,0,0,0
MON,00:57:30,141,407,512,1060,1,3,3,1,1,2,0,0,1,95,87,60,27,28.42,2801,26.62,141,407,512,141,407,512,0,0,967,967,0,0,0,0,0,0,0,0,0
MON,00:58:00,140,387,504,1031,1,3,3,1,1,2,0,0,1,92,88,60,28,30.43,2829,26.65,140,387,504,140,387,504,0,0,978,978,0,0,0,0,0,0,0,0,0
MON,00:58:30,140,387,513,1040,1,3,3,1,1,2,0,0,1,93,88,60,28,30.11,2857,26.68,140,387,513,140,387,513,0,0,987,987,0,0,0,0,0,0,0,0,0
MON,00:59:00,140,404,496,1040,1,3,3,1,1,2,0,0,1,93,85,60,25,26.88,2882,26.68,140,404,496,140,404,496,0,0,948,948,0,0,0,0,0,0,0,0,0
MON,00:59:30,141,382,497,1020,1,3,3,1,1,2,0,0,1,91,86,60,26,28.57,2908,26.70,141,382,497,141,382,497,0,0,966,966,0,0,0,0,0,0,0,0,0
MON,01:00:00,142,391,497,1030,1,3,3,1,1,2,0,0,1,92,87,60,27,29.35,2935,26.72,142,391,497,142,391,497,0,0,975,975,0,0,0,0,0,0,0,0,0
MON,01:00:30,137,382,509,1028,1,3,3,1,1,2,0,0,1,92,87,60,27,29.35,2962,26.74,137,382,509,137,382,509,0,0,975,975,0,0,0,0,0,0,0,0,0
MON,01:01:00,140,378,512,1030,1,3,3,1,1,2,0,0,1,92,88,60,28,30.43,2990,26.77,140,378,512,140,378,512,0,0,978,978,0,0,0,0,0,0,0,0,0
MON,01:01:30,140,382,514,1036,1,3,3,1,1,2,0,0,1,93,88,60,28,30.11,3018,26.80,140,382,514,140,382,514,0,0,983,983,0,0,0,0,0,0,0,0,0
MON,01:02:00,139,417,493,1049,1,3,3,1,1,2,0,0,1,94,85,60,25,26.60,3043,26.80,139,417,493,139,417,493,0,0,955,955,0,0,0,0,0,0,0,0,0
MON,01:02:30,140,388,499,1027,1,3,3,1,1,2,0,0,1,92,87,60,27,29.35,3070,26.82,140,388,499,140,388,499,0,0,974,974,0,0,0,0,0,0,0,0,0
MON,01:03:00,139,397,488,1024,1,3,3,1,1,2,0,0,1,92,87,60,27,29.35,3097,26.84,139,397,488,139,397,488,0,0,970,970,0,0,0,0,0,0,0,0,0
MON,01:03:30,135,409,498,1042,1,3,3,1,1,2,0,0,1,93,85,60,25,26.88,3122,26.84,135,409,498,135,409,498,0,0,950,950,0,0,0,0,0,0,0,0,0
MON,01:04:00,138,416,497,1051,1,3,3,1,1,2,0,0,1,94,86,60,26,27.66,3148,26.85,138,416,497,138,416,497,0,0,957,957,0,0,0,0,0,0,0,0,0
MON,01:04:30,138,409,490,1037,1,3,3,1,1,2,0,0,1,93,85,60,25,26.88,3173,26.85,138,409,490,138,409,490,0,0,945,945,0,0,0,0,0,0,0,0,0
MON,01:05:00,137,401,500,1038,1,3,3,1,1,2,0,0,1,93,85,60,25,26.88,3198,26.85,137,401,500,137,401,500,0,0,947,947,0,0,0,0,0,0,0,0,0
MON,01:05:30,137,413,500,1050,1,3,3,1,1,2,0,0,1,94,86,60,26,27.66,3224,26.85,137,413,500,137,413,500,0,0,956,956,0,0,0,0,0,0,0,0,0
MON,01:06:00,135,409,480,1024,1,3,3,1,1,2,0,0,1,92,83,60,23,25.00,3247,26.84,135,409,480,135,409,480,0,0,932,932,0,0,0,0,0,0,0,0,0
MON,01:06:30,135,415,499,1049,1,3,3,1,1,2,0,0,1,94,85,60,25,26.60,3272,26.84,135,415,499,135,415,499,0,0,955,955,0,0,0,0,0,0,0,0,0
MON,01:07:00,137,404,500,1041,1,3,3,1,1,2,0,0,1,93,85,60,25,26.88,3297,26.84,137,404,500,137,404,500,0,0,949,949,0,0,0,0,0,0,0,0,0
MON,01:07:30,136,428,483,1047,1,3,3,1,1,2,0,0,1,94,85,60,25,26.60,3322,26.84,136,428,483,136,428,483,0,0,951,951,0,0,0,0,0,0,0,0,0
MON,01:08:00,136,431,485,1052,1,3,3,1,1,2,0,0,1,94,85,60,25,26.60,3347,26.83,136,431,485,136,431,485,0,0,955,955,0,0,0,0,0,-1,0,0,0
MON,01:08:30,133,429,499,1061,1,3,3,1,1,1,0,0,1,95,82,54,28,29.47,3375,26.85,133,429,499,133,429,499,0,0,915,915,0,0,0,0,0,0,0,0,0
MON,01:09:00,135,392,482,1009,1,3,3,1,1,1,0,0,1,90,81,54,27,30.00,3402,26.88,135,392,482,135,392,482,0,0,906,906,0,0,0,0,0,0,0,0,0
MON,01:09:30,137,408,480,1025,1,3,3,1,1,1,0,0,1,92,79,54,25,27.17,3427,26.88,137,408,480,137,408,480,0,0,885,885,0,0,0,0,0,0,0,0,0
MON,01:10:00,135,419,500,1054,1,3,3,1,1,1,0,0,1,94,81,54,27,28.72,3454,26.89,135,419,500,135,419,500,0,0,910,910,0,0,0,0,0,0,0,0,0
MON,01:10:30,135,448,491,1074,1,3,3,1,1,1,0,0,1,96,83,54,29,30.21,3483,26.92,135,448,491,135,448,491,0,0,924,924,0,0,0,0,0,0,0,0,0
MON,01:11:00,135,430,482,1047,1,3,3,1,1,1,0,0,1,94,81,54,27,28.72,3510,26.93,135,430,482,135,430,482,0,0,902,902,0,0,0,0,0,0,0,0,0
MON,01:11:30,136,438,498,1072,1,3,3,1,1,1,0,0,1,96,83,54,29,30.21,3539,26.95,136,438,498,136,438,498,0,0,924,924,0,0,0,0,0,0,0,0,0
MON,01:12:00,134,421,496,1051,1,3,3,1,1,1,0,0,1,94,81,54,27,28.72,3566,26.97,134,421,496,134,421,496,0,0,906,906,0,0,0,0,0,0,0,0,0
