; MSControl_Server Game File									
; Mega Crash File									
; Andrew Stokes									
;									
;	Profit	W.cost	J.cost	D.cost					
DEMAND	2	1	14	0	258	822	692		
DEMAND	2	1	14	30	256	1001	694		
DEMAND	2	1	15	0	264	931	714		
DEMAND	2	1	15	30	254	1072	719		
DEMAND	2	1	16	0	236	893	705		
DEMAND	2	1	16	30	245	1029	710		
DEMAND	2	1	17	0	261	980	734		
DEMAND	2	1	17	30	254	929	701		
DEMAND	2	1	18	0	254	1108	696		
DEMAND	2	1	18	30	247	958	733		
DEMAND	2	1	19	0	241	1050	692		
DEMAND	2	1	19	30	252	1102	765		
DEMAND	2	1	20	0	246	1033	709		
DEMAND	2	1	20	30	242	915	742		
DEMAND	2	1	21	0	241	909	712		
DEMAND	2	1	21	30	259	913	742		
DEMAND	2	1	22	0	259	863	718		
DEMAND	2	1	22	30	242	1032	704		
DEMAND	2	1	23	0	248	977	727		
DEMAND	2	1	23	30	221	938	695		
DEMAND	2	1	24	0	259	934	735		
DEMAND	2	1	24	30	236	885	735		
DEMAND	2	1	25	0	261	920	711		
DEMAND	2	1	25	30	224	1027	754		
DEMAND	2	1	26	0	234	986	710		
DEMAND	2	1	26	30	246	993	728		
DEMAND	2	1	27	0	244	992	730		
DEMAND	2	1	27	30	256	1215	758		
DEMAND	2	1	28	0	227	1081	724		
DEMAND	2	1	28	30	245	1094	700		
DEMAND	2	1	29	0	221	1194	761		
DEMAND	2	1	29	30	247	1094	680		
DEMAND	2	1	30	0	214	1058	733		
DEMAND	2	1	30	30	253	936	747		
DEMAND	2	1	31	0	213	1075	708		
DEMAND	2	1	31	30	230	992	726		
DEMAND	2	1	32	0	251	1229	699		
DEMAND	2	1	32	30	243	1042	708		
DEMAND	2	1	33	0	228	1251	714		
DEMAND	2	1	33	30	234	1186	721		
DEMAND	2	1	34	0	231	1058	746		
DEMAND	2	1	34	30	206	1090	701		
DEMAND	2	1	35	0	249	1108	737		
DEMAND	2	1	35	30	224	1189	698		
DEMAND	2	1	36	0	240	1005	710		
DEMAND	2	1	36	30	234	1099	726		
DEMAND	2	1	37	0	224	1155	721		
DEMAND	2	1	37	30	194	1164	716		
DEMAND	2	1	38	0	261	1065	757		
DEMAND	2	1	38	30	216	1231	703		
DEMAND	2	1	39	0	249	1270	745		
DEMAND	2	1	39	30	228	1247	735		
DEMAND	2	1	40	0	229	1212	722		
DEMAND	2	1	40	30	238	1090	678		
DEMAND	2	1	41	0	227	1069	739		
DEMAND	2	1	41	30	211	1252	773		
DEMAND	2	1	42	0	219	1177	744		
DEMAND	2	1	42	30	229	1080	708		
DEMAND	2	1	43	0	202	1236	707		
DEMAND	2	1	43	30	212	1142	701		
DEMAND	2	1	44	0	200	1323	732		
DEMAND	2	1	44	30	249	1145	693		
DEMAND	2	1	45	0	247	1034	707		
DEMAND	2	1	45	30	226	1298	719		
DEMAND	2	1	46	0	230	1080	804		
DEMAND	2	1	46	30	218	1203	763		
DEMAND	2	1	47	0	236	1120	689		
DEMAND	2	1	47	30	238	1300	699		
DEMAND	2	1	48	0	197	1158	743		
DEMAND	2	1	48	30	220	1152	705		
DEMAND	2	1	49	0	210	1291	718		
DEMAND	2	1	49	30	220	1232	695		
DEMAND	2	1	50	0	201	1377	738		
DEMAND	2	1	50	30	196	1172	773		
DEMAND	2	1	51	0	179	1134	720		
DEMAND	2	1	51	30	224	1328	732		
DEMAND	2	1	52	0	246	1385	671		
DEMAND	2	1	52	30	187	1281	789		
DEMAND	2	1	53	0	220	1338	720		
DEMAND	2	1	53	30	224	1267	781		
DEMAND	2	1	54	0	250	1286	758		
DEMAND	2	1	54	30	226	1310	685		
DEMAND	2	1	55	0	232	1226	702		
DEMAND	2	1	55	30	245	1281	792		
DEMAND	2	1	56	0	212	1271	707		
DEMAND	2	1	56	30	208	1267	732		
DEMAND	2	1	57	0	214	1265	752		
DEMAND	2	1	57	30	197	1348	790		
DEMAND	2	1	58	0	225	1361	745		
DEMAND	2	1	58	30	244	1301	775		
DEMAND	2	1	59	0	227	1314	754		
DEMAND	2	1	59	30	222	1182	713		
DEMAND	2	2	0	0	220	1322	708		
DEMAND	2	2	0	30	169	1410	773		
DEMAND	2	2	1	0	250	1432	775		
DEMAND	2	2	1	30	198	1461	813		
DEMAND	2	2	2	0	228	1420	802		
DEMAND	2	2	2	30	216	1291	741		
DEMAND	2	2	3	0	216	1324	741		
DEMAND	2	2	3	30	210	1417	704		
DEMAND	2	2	4	0	241	1178	808		
DEMAND	2	2	4	30	232	1383	764		
DEMAND	2	2	5	0	195	1484	825		
DEMAND	2	2	5	30	222	1455	702		
DEMAND	2	2	6	0	216	1477	774		
DEMAND	2	2	6	30	227	1492	773		
DEMAND	2	2	7	0	190	1380	725		
DEMAND	2	2	7	30	206	1321	784		
DEMAND	2	2	8	0	232	1444	734		
DEMAND	2	2	8	30	230	1433	787		
DEMAND	2	2	9	0	224	1430	789		
DEMAND	2	2	9	30	238	1469	786		
DEMAND	2	2	10	0	216	1415	723		
DEMAND	2	2	10	30	206	1411	755		
DEMAND	2	2	11	0	240	1305	768		
DEMAND	2	2	11	30	222	1455	749		
DEMAND	2	2	12	0	242	1451	806		
DEMAND	2	2	12	30	185	1295	794		
DEMAND	2	2	13	0	232	1402	809		
DEMAND	2	2	13	30	252	1301	835		
DEMAND	2	2	14	0	214	1309	762		
DEMAND	2	2	14	30	223	1380	739		
DEMAND	2	2	15	0	154	1263	703		
DEMAND	2	2	15	30	191	1347	730		
DEMAND	2	2	16	0	155	1446	799		
DEMAND	2	2	16	30	210	1396	736		
DEMAND	2	2	17	0	204	1514	684		
DEMAND	2	2	17	30	236	1505	764		
DEMAND	2	2	18	0	164	1357	706		
DEMAND	2	2	18	30	239	1553	812		
DEMAND	2	2	19	0	188	1389	869		
DEMAND	2	2	19	30	168	1429	711		
DEMAND	2	2	20	0	181	1533	726		
DEMAND	2	2	20	30	215	1322	791		
DEMAND	2	2	21	0	227	1375	751		
DEMAND	2	2	21	30	208	1552	883		
DEMAND	2	2	22	0	168	1327	796		
DEMAND	2	2	22	30	207	1644	743		
DEMAND	2	2	23	0	222	1450	883		
DEMAND	2	2	23	30	208	1338	803		
DEMAND	2	2	24	0	192	1363	778		
DEMAND	2	2	24	30	181	1613	744		
DEMAND	2	2	25	0	190	1407	769		
DEMAND	2	2	25	30	255	1397	845		
DEMAND	2	2	26	0	182	1565	739		
DEMAND	2	2	26	30	225	1417	810		
DEMAND	2	2	27	0	224	1618	726		
DEMAND	2	2	27	30	238	1465	817		
DEMAND	2	2	28	0	241	1488	757		
DEMAND	2	2	28	30	239	1484	813		
DEMAND	2	2	29	0	183	1386	784		
DEMAND	2	2	29	30	205	1373	763		
DEMAND	2	2	30	0	248	1394	798		
DEMAND	2	2	30	30	218	1573	849		
DEMAND	2	2	31	0	213	1424	745		
DEMAND	2	2	31	30	195	1542	876		
DEMAND	2	2	32	0	219	1479	768		
DEMAND	2	2	32	30	165	1581	737		
DEMAND	2	2	33	0	225	1590	803		
DEMAND	2	2	33	30	248	1652	818		
DEMAND	2	2	34	0	170	1700	747		
DEMAND	2	2	34	30	205	1624	749		
DEMAND	2	2	35	0	166	1404	778		
DEMAND	2	2	35	30	229	1615	929		
DEMAND	2	2	36	0	253	1461	868		
DEMAND	2	2	36	30	192	1499	812		
DEMAND	2	2	37	0	236	1596	786		
DEMAND	2	2	37	30	234	1598	883		
DEMAND	2	2	38	0	173	1705	718		
DEMAND	2	2	38	30	228	1581	861		
DEMAND	2	2	39	0	229	1526	802		
DEMAND	2	2	39	30	227	1525	811		
DEMAND	2	2	40	0	189	1682	792		
DEMAND	2	2	40	30	174	1487	892		
DEMAND	2	2	41	0	241	1615	778		
DEMAND	2	2	41	30	168	1644	858		
DEMAND	2	2	42	0	213	1638	865		
DEMAND	2	2	42	30	185	1522	794		
DEMAND	2	2	43	0	179	1613	837		
DEMAND	2	2	43	30	220	1598	810		
DEMAND	2	2	44	0	227	1683	729		
DEMAND	2	2	44	30	189	1661	841		
DEMAND	2	2	45	0	195	1541	826		
DEMAND	2	2	45	30	247	1532	857		
DEMAND	2	2	46	0	179	1648	788		
DEMAND	2	2	46	30	202	1622	769		
DEMAND	2	2	47	0	213	1568	872		
DEMAND	2	2	47	30	189	1633	763		
DEMAND	2	2	48	0	224	1689	848		
DEMAND	2	2	48	30	224	1570	770		
DEMAND	2	2	49	0	233	1592	817		
DEMAND	2	2	49	30	232	1595	809		
DEMAND	2	2	50	0	179	1750	781		
DEMAND	2	2	50	30	182	1680	883		
DEMAND	2	2	51	0	172	1621	751		
DEMAND	2	2	51	30	214	1659	852		
DEMAND	2	2	52	0	221	1579	799		
DEMAND	2	2	52	30	250	1612	826		
DEMAND	2	2	53	0	201	1661	899		
DEMAND	2	2	53	30	151	1649	781		
DEMAND	2	2	54	0	171	1682	879		
DEMAND	2	2	54	30	175	1679	805		
DEMAND	2	2	55	0	237	1651	927		
DEMAND	2	2	55	30	159	1679	893		
DEMAND	2	2	56	0	156	1613	813		
DEMAND	2	2	56	30	148	1766	847		
DEMAND	2	2	57	0	164	1660	838		
DEMAND	2	2	57	30	184	1702	867		
DEMAND	2	2	58	0	273	1772	817		
DEMAND	2	2	58	30	264	1676	773		
DEMAND	2	2	59	0	203	1773	966		
DEMAND	2	2	59	30	223	1726	885		
DEMAND	2	3	0	0	206	1623	907		
DEMAND	2	3	0	30	180	1765	855		
DEMAND	2	3	1	0	179	1749	921		
DEMAND	2	3	1	30	240	1782	905		
DEMAND	2	3	2	0	215	1642	962		
DEMAND	2	3	2	30	170	1754	929		
DEMAND	2	3	3	0	176	1691	872		
DEMAND	2	3	3	30	250	1752	936		
DEMAND	2	3	4	0	276	1753	974		
DEMAND	2	3	4	30	178	1669	857		
DEMAND	2	3	5	0	192	1791	917		
DEMAND	2	3	5	30	220	1674	816		
DEMAND	2	3	6	0	203	1765	839		
DEMAND	2	3	6	30	173	1751	923		
DEMAND	2	3	7	0	271	1698	863		
DEMAND	2	3	7	30	239	1690	900		
DEMAND	2	3	8	0	158	1755	836		
DEMAND	2	3	8	30	169	1768	874		
DEMAND	2	3	9	0	194	1706	849		
DEMAND	2	3	9	30	180	1732	804		
DEMAND	2	3	10	0	253	1796	928		
DEMAND	2	3	10	30	173	1681	911		
DEMAND	2	3	11	0	170	1807	977		
DEMAND	2	3	11	30	153	1713	973		
DEMAND	2	3	12	0	282	1712	896		
DEMAND	2	3	12	30	261	1745	943		
DEMAND	2	3	13	0	212	1804	948		
DEMAND	2	3	13	30	196	1805	828		
DEMAND	2	3	14	0	204	1694	940		
DEMAND	2	3	14	30	234	1785	885		
DEMAND	2	3	15	0	178	1674	933		
DEMAND	2	3	15	30	217	1800	871		
DEMAND	2	3	16	0	216	1773	826		
DEMAND	2	3	16	30	163	1805	811		
DEMAND	2	3	17	0	228	1753	872		
DEMAND	2	3	17	30	206	1793	1032		
DEMAND	2	3	18	0	244	1824	924		
DEMAND	2	3	18	30	161	1848	932		
DEMAND	2	3	19	0	157	1793	937		
DEMAND	2	3	19	30	247	1812	810		
DEMAND	2	3	20	0	126	1810	935		
DEMAND	2	3	20	30	162	1747	961		
DEMAND	2	3	21	0	170	1777	999		
DEMAND	2	3	21	30	126	1853	953		
DEMAND	2	3	22	0	226	1815	1007		
DEMAND	2	3	22	30	186	1825	981		
DEMAND	2	3	23	0	220	1772	1025		
DEMAND	2	3	23	30	235	1808	934		
DEMAND	2	3	24	0	129	1836	984		
DEMAND	2	3	24	30	244	1793	903		
DEMAND	2	3	25	0	173	1792	854		
DEMAND	2	3	25	30	260	1844	963		
DEMAND	2	3	26	0	208	1898	878		
DEMAND	2	3	26	30	188	1867	953		
DEMAND	2	3	27	0	234	1763	1013		
DEMAND	2	3	27	30	165	1829	902		
DEMAND	2	3	28	0	213	1737	891		
DEMAND	2	3	28	30	167	1828	975		
DEMAND	2	3	29	0	184	1759	983		
DEMAND	2	3	29	30	236	1850	950		
DEMAND	2	3	30	0	212	1808	972		
DEMAND	2	3	30	30	187	1851	922		
DEMAND	2	3	31	0	225	1861	865		
DEMAND	2	3	31	30	262	1788	1004		
DEMAND	2	3	32	0	178	1855	1014		
DEMAND	2	3	32	30	155	1817	848		
DEMAND	2	3	33	0	197	1790	966		
DEMAND	2	3	33	30	191	1837	953		
DEMAND	2	3	34	0	170	1879	1015		
DEMAND	2	3	34	30	182	1815	1015		
DEMAND	2	3	35	0	148	1785	988		
DEMAND	2	3	35	30	158	1827	946		
DEMAND	2	3	36	0	242	1773	973		
DEMAND	2	3	36	30	143	1865	998		
DEMAND	2	3	37	0	130	1857	933		
DEMAND	2	3	37	30	217	1883	941		
DEMAND	2	3	38	0	269	1832	1012		
DEMAND	2	3	38	30	257	1852	915		
DEMAND	2	3	39	0	290	1906	1003		
DEMAND	2	3	39	30	218	1839	1003		
DEMAND	2	3	40	0	196	1905	914		
DEMAND	2	3	40	30	171	1872	1015		
DEMAND	2	3	41	0	178	1885	925		
DEMAND	2	3	41	30	229	1847	1013		
DEMAND	2	3	42	0	153	1821	1050		
DEMAND	2	3	42	30	195	1836	1041		
DEMAND	2	3	43	0	304	1916	974		
DEMAND	2	3	43	30	245	1852	998		
DEMAND	2	3	44	0	217	1891	932		
DEMAND	2	3	44	30	229	1851	1019		
DEMAND	2	3	45	0	189	1897	914		
DEMAND	2	3	45	30	206	1844	1005		
DEMAND	2	3	46	0	196	1838	1039		
DEMAND	2	3	46	30	328	1898	973		
DEMAND	2	3	47	0	259	1834	919		
DEMAND	2	3	47	30	222	1846	894		
DEMAND	2	3	48	0	193	1918	879		
DEMAND	2	3	48	30	258	1855	988		
DEMAND	2	3	49	0	209	1904	999		
DEMAND	2	3	49	30	202	1877	938		
DEMAND	2	3	50	0	297	1907	1041		
DEMAND	2	3	50	30	295	1884	888		
DEMAND	2	3	51	0	238	1844	885		
DEMAND	2	3	51	30	205	1883	988		
DEMAND	2	3	52	0	240	1868	957		
DEMAND	2	3	52	30	249	1884	943		
DEMAND	2	3	53	0	258	1867	934		
DEMAND	2	3	53	30	202	1855	1007		
DEMAND	2	3	54	0	215	1906	972		
DEMAND	2	3	54	30	228	1855	1017		
DEMAND	2	3	55	0	238	1853	1028		
DEMAND	2	3	55	30	217	1829	1026		
DEMAND	2	3	56	0	178	1879	971		
DEMAND	2	3	56	30	209	1839	1018		
DEMAND	2	3	57	0	185	1827	964		
DEMAND	2	3	57	30	267	1841	921		
DEMAND	2	3	58	0	237	1830	1006		
DEMAND	2	3	58	30	211	1915	974		
DEMAND	2	3	59	0	237	1865	1039		
DEMAND	2	3	59	30	212	1891	977		
DEMAND	2	4	0	0	263	1899	1017		
DEMAND	2	4	0	30	257	1880	960		
DEMAND	2	4	1	0	203	1847	944		
DEMAND	2	4	1	30	289	1903	952		
DEMAND	2	4	2	0	206	1808	1068		
DEMAND	2	4	2	30	210	1828	1013		
DEMAND	2	4	3	0	214	1927	1070		
DEMAND	2	4	3	30	188	1873	1062		
DEMAND	2	4	4	0	292	1834	1021		
DEMAND	2	4	4	30	235	1907	1020		
DEMAND	2	4	5	0	163	1850	1009		
DEMAND	2	4	5	30	224	1892	1022		
DEMAND	2	4	6	0	232	1846	1007		
DEMAND	2	4	6	30	196	1820	1068		
DEMAND	2	4	7	0	295	1901	1011		
DEMAND	2	4	7	30	265	1841	1039		
DEMAND	2	4	8	0	276	1893	1077		
DEMAND	2	4	8	30	264	1872	1016		
DEMAND	2	4	9	0	245	1779	1067		
DEMAND	2	4	9	30	283	1929	974		
DEMAND	2	4	10	0	272	1916	1047		
DEMAND	2	4	10	30	290	1918	948		
DEMAND	2	4	11	0	335	1884	1118		
DEMAND	2	4	11	30	254	1939	1020		
DEMAND	2	4	12	0	311	1957	970		
DEMAND	2	4	12	30	229	1875	930		
DEMAND	2	4	13	0	273	1901	976		
DEMAND	2	4	13	30	249	1831	1037		
DEMAND	2	4	14	0	298	1887	1058		
DEMAND	2	4	14	30	278	1863	1032		
DEMAND	2	4	15	0	232	1910	1085		
DEMAND	2	4	15	30	312	1890	970		
DEMAND	2	4	16	0	221	1883	995		
DEMAND	2	4	16	30	270	1910	1042		
DEMAND	2	4	17	0	215	1904	1009		
DEMAND	2	4	17	30	290	1822	1060		
DEMAND	2	4	18	0	268	1889	1021		
DEMAND	2	4	18	30	304	1845	1047		
DEMAND	2	4	19	0	264	1861	995		
DEMAND	2	4	19	30	329	1905	1002		
DEMAND	2	4	20	0	349	1839	1069		
DEMAND	2	4	20	30	314	1805	1080		
DEMAND	2	4	21	0	359	1866	1048		
DEMAND	2	4	21	30	245	1839	972		
DEMAND	2	4	22	0	274	1862	1033		
DEMAND	2	4	22	30	265	1790	1052		
DEMAND	2	4	23	0	304	1921	1074		
DEMAND	2	4	23	30	269	1776	1068		
DEMAND	2	4	24	0	298	1924	984		
DEMAND	2	4	24	30	261	1870	1029		
DEMAND	2	4	25	0	274	1918	1083		
DEMAND	2	4	25	30	253	1863	1036		
DEMAND	2	4	26	0	386	1930	1035		
DEMAND	2	4	26	30	315	1796	1090		
DEMAND	2	4	27	0	277	1859	1004		
DEMAND	2	4	27	30	261	1918	966		
DEMAND	2	4	28	0	314	1793	999		
DEMAND	2	4	28	30	293	1926	1056		
DEMAND	2	4	29	0	334	1903	1078		
DEMAND	2	4	29	30	295	1905	968		
DEMAND	2	4	30	0	362	1799	993		
DEMAND	2	4	30	30	269	1871	1066		
DEMAND	2	4	31	0	381	1934	1029		
DEMAND	2	4	31	30	429	1781	969		
DEMAND	2	4	32	0	279	1856	1045		
DEMAND	2	4	32	30	392	1911	1021		
DEMAND	2	4	33	0	320	1933	1032		
DEMAND	2	4	33	30	370	1728	1063		
DEMAND	2	4	34	0	335	1808	1045		
DEMAND	2	4	34	30	328	1876	992		
DEMAND	2	4	35	0	392	1732	1107		
DEMAND	2	4	35	30	356	1815	1052		
DEMAND	2	4	36	0	401	1890	1057		
DEMAND	2	4	36	30	377	1907	1049		
DEMAND	2	4	37	0	441	1775	1069		
DEMAND	2	4	37	30	371	1840	1036		
DEMAND	2	4	38	0	386	1806	1039		
DEMAND	2	4	38	30	366	1737	1025		
DEMAND	2	4	39	0	361	1888	1008		
DEMAND	2	4	39	30	348	1903	973		
DEMAND	2	4	40	0	352	1808	1030		
DEMAND	2	4	40	30	306	1817	1031		
DEMAND	2	4	41	0	346	1793	979		
DEMAND	2	4	41	30	421	1885	1010		
DEMAND	2	4	42	0	408	1891	1060		
DEMAND	2	4	42	30	443	1870	1069		
DEMAND	2	4	43	0	448	1947	1037		
DEMAND	2	4	43	30	437	1822	963		
DEMAND	2	4	44	0	485	1761	1049		
DEMAND	2	4	44	30	452	1918	1016		
DEMAND	2	4	45	0	376	1855	1083		
DEMAND	2	4	45	30	384	1900	1058		
DEMAND	2	4	46	0	459	1739	1017		
DEMAND	2	4	46	30	355	1819	1061		
DEMAND	2	4	47	0	422	1876	1017		
DEMAND	2	4	47	30	442	1730	1045		
DEMAND	2	4	48	0	497	1848	1047		
DEMAND	2	4	48	30	380	1909	1038		
DEMAND	2	4	49	0	408	1852	991		
DEMAND	2	4	49	30	439	1741	1084		
DEMAND	2	4	50	0	461	1756	1032		
DEMAND	2	4	50	30	423	1883	1025		
DEMAND	2	4	51	0	491	1792	986		
DEMAND	2	4	51	30	547	1741	1054		
DEMAND	2	4	52	0	537	1846	992		
DEMAND	2	4	52	30	520	1781	1076		
DEMAND	2	4	53	0	562	1782	1004		
DEMAND	2	4	53	30	519	1766	970		
DEMAND	2	4	54	0	452	1803	1015		
DEMAND	2	4	54	30	582	1880	1048		
DEMAND	2	4	55	0	564	1904	1083		
DEMAND	2	4	55	30	567	1839	1068		
DEMAND	2	4	56	0	577	1658	1012		
DEMAND	2	4	56	30	469	1778	1031		
DEMAND	2	4	57	0	599	1844	1038		
DEMAND	2	4	57	30	523	1802	1032		
DEMAND	2	4	58	0	586	1911	1071		
DEMAND	2	4	58	30	616	1719	988		
DEMAND	2	4	59	0	722	1738	1035		
DEMAND	2	4	59	30	681	1837	1037		
DEMAND	2	5	0	0	816	1665	1068		
DEMAND	2	5	0	30	685	1699	1031		
DEMAND	2	5	1	0	692	1829	1040		
DEMAND	2	5	1	30	676	1852	1057		
DEMAND	2	5	2	0	586	1814	992		
DEMAND	2	5	2	30	675	1668	1040		
DEMAND	2	5	3	0	704	1749	1011		
DEMAND	2	5	3	30	617	1779	1085		
DEMAND	2	5	4	0	571	1666	1051		
DEMAND	2	5	4	30	698	1850	978		
DEMAND	2	5	5	0	684	1817	1011		
DEMAND	2	5	5	30	737	1799	984		
DEMAND	2	5	6	0	687	1768	1019		
DEMAND	2	5	6	30	692	1658	1047		
DEMAND	2	5	7	0	642	1816	1066		
DEMAND	2	5	7	30	736	1810	990		
DEMAND	2	5	8	0	648	1712	1002		
DEMAND	2	5	8	30	694	1704	1033		
DEMAND	2	5	9	0	667	1822	1053		
DEMAND	2	5	9	30	699	1811	992		
DEMAND	2	5	10	0	642	1857	1011		
DEMAND	2	5	10	30	794	1678	995		
DEMAND	2	5	11	0	769	1761	1004		
DEMAND	2	5	11	30	719	1845	1014		
DEMAND	2	5	12	0	799	1625	1012		
DEMAND	2	5	12	30	778	1757	996		
